OG5_143398,pl_tra,op_gen,ee_tra,ba_tra,op_tra,za_gen,am_gen,ba_gen,sr_tra,ex_gen,ex_tra,sr_gen,pl_gen,ee_gen,za_tra,am_tra
OG5_130118,5,37,6,0,3,0,3,0,35,0,2,4,2,1,0,24
OG5_130119,10,44,16,0,3,35,3,31,76,1,6,11,11,1,0,130
OG5_169392,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0
OG5_136451,0,26,0,0,1,0,0,0,6,0,0,0,1,0,0,2
OG5_136982,2,24,4,0,1,0,0,0,12,0,1,0,1,0,0,7
OG5_136453,25,15,34,0,2,0,0,0,72,0,1,5,13,1,0,40
OG5_136452,1,8,0,0,0,3,0,129,2,0,0,0,0,0,0,3
OG5_136455,9,17,32,0,2,0,1,0,120,2,1,7,1,0,0,125
OG5_136986,13,2,19,0,1,0,0,0,77,0,1,12,10,1,0,82
OG5_142597,3,0,0,0,0,0,1,52,1,0,0,0,12,0,0,3
OG5_136984,16,8,14,0,0,1,0,101,119,0,2,4,4,1,0,45
OG5_136988,26,0,35,0,2,1,0,2,127,0,6,1,12,0,0,155
OG5_146377,1,23,27,0,5,0,6,0,88,3,6,8,0,1,0,204
OG5_128715,9,37,2,0,2,69,3,203,29,12,0,9,15,0,0,22
OG5_134631,17,22,20,0,2,0,0,0,93,0,3,5,10,2,0,94
OG5_176377,5,8,17,0,1,5,2,42,140,2,8,11,4,2,0,65
OG5_134637,3,24,13,0,0,0,1,67,62,1,0,6,1,1,0,7
OG5_146372,0,0,1,0,0,0,3,0,68,0,1,13,0,0,0,8
OG5_176372,0,0,5,0,0,0,0,0,39,0,0,1,0,0,0,3
OG5_134634,11,25,8,0,1,0,2,0,42,0,3,9,3,1,0,17
OG5_147125,10,0,4,0,0,4,0,23,14,0,0,2,6,0,0,0
OG5_134639,19,6,11,0,0,1,0,5,164,0,2,16,16,2,0,7
OG5_159186,29,0,26,0,0,0,0,64,89,0,3,6,10,1,0,0
OG5_147124,3,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0
OG5_170746,2,0,0,0,0,0,0,70,0,0,0,0,10,0,0,0
OG5_140185,0,0,0,0,0,0,0,82,0,0,0,0,1,0,0,0
OG5_129018,16,55,18,0,5,2,6,0,148,1,9,33,17,2,0,111
OG5_147126,18,0,4,0,1,0,1,0,5,1,5,0,15,0,0,23
OG5_148208,4,2,13,0,0,0,0,0,70,12,2,3,0,1,0,5
OG5_130717,19,27,16,0,1,14,3,73,91,1,4,14,13,1,0,85
OG5_175544,0,1,2,0,1,2,0,147,5,0,0,0,0,0,0,4
OG5_137855,7,3,10,0,0,0,0,0,91,0,3,2,9,0,0,60
OG5_137580,3,22,9,0,1,0,3,0,20,1,4,1,0,0,0,152
OG5_140180,13,1,25,0,0,0,0,102,72,0,1,7,12,1,0,4
OG5_137582,0,22,2,0,2,0,0,0,5,2,1,0,0,0,0,3
OG5_137583,9,18,15,0,1,0,0,1,68,2,1,8,4,1,0,13
OG5_145104,5,0,0,0,0,0,0,0,3,11,0,0,4,0,0,1
OG5_141458,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
OG5_137858,0,0,0,0,0,8,0,185,10,0,0,0,1,0,0,0
OG5_137859,7,2,22,0,4,0,0,0,136,0,1,23,2,1,0,12
OG5_136674,1,19,3,0,0,0,0,0,11,0,0,3,0,1,0,4
OG5_144663,1,7,5,0,0,0,0,17,39,0,1,1,0,0,0,4
OG5_169714,0,4,0,0,0,0,0,5,1,0,0,0,0,0,0,0
OG5_136672,26,0,33,0,2,0,0,0,173,0,2,6,3,0,0,64
OG5_136679,18,3,18,0,0,0,0,119,88,0,1,9,5,1,0,9
OG5_133008,1,36,7,0,1,0,0,0,12,0,1,3,0,1,0,31
OG5_144629,4,3,2,0,0,1,0,76,18,0,0,0,1,0,0,4
OG5_144628,22,18,30,0,0,0,0,0,84,0,2,3,9,1,0,42
OG5_133005,14,37,20,0,3,0,1,0,23,1,4,4,6,0,0,51
OG5_129998,5,21,2,0,0,0,1,72,37,12,4,4,3,1,0,37
OG5_133006,11,27,11,0,0,0,0,0,77,1,2,11,13,1,0,18
OG5_133001,1,36,1,0,2,0,0,0,8,0,0,6,0,0,0,5
OG5_144622,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OG5_133003,0,29,2,0,1,0,2,0,5,0,1,0,0,1,0,6
OG5_129999,37,62,33,0,7,0,3,0,206,1,4,13,17,2,0,177
OG5_129012,5,72,6,0,4,0,0,0,63,0,0,4,4,0,0,12
OG5_142903,0,3,0,0,0,0,1,0,0,5,0,0,0,0,0,1
OG5_145976,0,2,11,0,0,0,0,0,61,14,3,3,0,2,0,123
OG5_129448,38,59,26,0,10,3,3,204,226,2,15,17,19,2,0,194
OG5_130401,8,50,6,0,0,0,0,0,16,1,0,13,14,2,0,9
OG5_146951,0,3,1,0,0,0,0,0,16,13,2,0,0,0,0,18
OG5_129997,3,62,15,0,2,0,5,0,42,1,2,9,0,2,0,68
OG5_139348,10,14,14,0,0,0,0,0,63,2,2,4,9,1,0,93
OG5_126771,0,35,0,0,2,0,0,0,11,0,0,0,1,0,0,2
OG5_126770,8,14,30,0,3,0,2,39,108,4,6,5,1,2,0,36
OG5_126773,41,75,46,0,11,3,4,220,272,20,14,37,19,2,0,186
OG5_126772,40,80,45,0,9,9,5,119,249,17,16,36,18,2,0,185
OG5_126775,38,74,41,0,7,55,6,320,298,15,16,24,19,2,0,206
OG5_126774,36,77,44,0,5,0,6,1,247,20,8,38,19,2,0,185
OG5_126777,32,78,31,0,1,107,3,543,202,19,6,35,19,2,0,153
OG5_126776,42,79,47,0,12,107,6,548,337,20,19,39,19,2,0,208
OG5_126779,28,75,35,0,9,0,3,274,256,14,11,33,19,2,0,186
OG5_126778,12,50,23,0,5,32,4,251,116,2,5,11,16,2,0,147
OG5_171684,0,0,0,0,0,2,0,38,1,0,0,0,1,0,0,0
OG5_147026,0,1,0,0,0,38,0,28,0,0,0,0,0,0,0,0
OG5_147027,0,8,0,0,1,0,0,0,1,0,0,0,1,0,0,3
OG5_127118,30,73,43,0,16,0,6,0,292,16,17,35,16,2,0,209
OG5_136189,15,26,33,0,1,0,0,0,149,3,11,12,3,1,0,13
OG5_127119,4,43,10,0,3,0,3,0,24,2,5,4,13,1,0,139
OG5_136073,4,4,22,0,1,0,0,11,49,0,1,2,0,1,0,4
OG5_156946,0,0,4,0,0,2,3,1,25,2,1,0,0,0,0,22
OG5_136183,10,24,24,0,4,1,0,3,139,2,8,15,3,2,0,19
OG5_136182,6,1,19,0,0,0,0,0,241,1,1,34,0,0,0,25
OG5_136181,8,0,17,0,2,0,0,0,193,4,12,22,0,1,0,8
OG5_136180,0,19,2,0,0,0,2,0,1,0,1,4,6,1,0,3
OG5_136187,13,18,4,0,0,0,1,0,11,0,1,0,15,0,0,41
OG5_136186,12,18,17,0,0,0,0,0,78,1,1,0,11,0,0,40
OG5_150553,0,3,1,0,0,0,1,0,13,0,1,8,0,0,0,38
OG5_128133,28,80,32,0,7,0,0,0,221,14,8,35,18,2,0,34
OG5_172133,0,0,0,0,0,6,0,0,2,3,0,0,0,0,0,0
OG5_155117,16,14,30,0,3,11,1,1,205,6,15,7,1,1,0,191
OG5_132306,31,33,13,0,0,0,0,86,54,0,2,14,19,0,0,8
OG5_155113,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,1
OG5_127113,12,80,22,0,1,2,6,227,121,20,6,37,19,2,0,108
OG5_144666,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,2
OG5_150388,24,0,10,0,0,0,0,0,27,0,2,1,17,1,0,0
OG5_132600,21,33,32,0,1,0,1,0,71,0,2,8,13,1,0,152
OG5_132353,2,46,5,0,6,0,1,0,11,0,0,0,0,0,0,18
OG5_132602,12,28,26,0,4,0,0,0,186,15,8,16,1,2,0,15
OG5_132351,5,2,6,0,1,43,3,279,7,1,4,2,11,0,0,37
OG5_132356,4,31,25,0,2,0,1,0,108,1,4,9,1,0,0,38
OG5_138917,3,18,1,0,0,0,0,0,13,0,2,2,0,0,0,2
OG5_132354,27,6,20,0,0,0,3,0,79,13,2,18,18,1,0,38
OG5_132607,9,16,20,0,2,0,2,0,113,0,5,7,2,1,0,152
OG5_132609,12,0,0,0,0,0,0,0,2,0,0,0,10,0,0,48
OG5_132358,8,46,12,0,4,0,2,8,28,1,7,5,2,1,0,99
OG5_128138,34,76,43,0,5,0,5,0,211,16,9,32,18,2,0,154
OG5_129338,29,73,29,0,1,0,3,0,144,3,8,20,17,2,0,92
OG5_144665,0,1,0,0,0,4,0,95,1,0,0,0,0,0,0,1
OG5_137788,7,4,7,0,0,0,0,0,27,0,0,7,6,0,0,13
OG5_133913,0,27,0,0,0,0,0,0,9,0,0,1,0,0,0,1
OG5_133917,3,28,0,0,0,0,2,0,2,0,0,6,1,0,0,54
OG5_133915,3,1,1,0,0,1,0,29,6,2,0,0,8,0,0,3
OG5_169823,3,5,7,0,0,0,1,17,63,1,2,5,0,0,0,53
OG5_129849,24,55,39,0,4,0,3,7,227,18,8,17,8,2,0,166
OG5_164056,0,0,0,0,0,0,0,37,0,0,0,0,1,0,0,0
OG5_143683,0,14,0,0,1,0,0,0,5,1,0,0,0,0,0,3
OG5_156795,0,0,0,0,0,0,0,0,40,0,0,2,0,0,0,0
OG5_136029,24,11,35,0,4,0,0,0,270,3,13,22,15,2,0,96
OG5_158960,0,0,2,0,0,0,2,9,2,3,3,0,0,0,0,3
OG5_158963,17,0,11,0,0,0,1,11,14,0,1,1,9,1,0,0
OG5_158962,0,0,0,0,0,0,0,137,0,0,0,0,1,0,0,0
OG5_141259,1,1,6,0,0,0,1,1,9,11,2,0,1,0,0,28
OG5_158967,25,0,20,0,0,0,0,81,85,0,1,8,6,1,0,16
OG5_141708,15,0,25,0,0,1,0,66,79,0,2,5,6,1,0,3
OG5_141255,10,3,15,0,1,0,1,36,93,1,3,3,3,0,0,72
OG5_141706,0,1,0,0,0,0,0,66,1,0,0,0,1,0,0,0
OG5_141705,22,0,26,0,1,0,0,60,86,0,1,6,3,1,0,1
OG5_141703,1,1,28,0,0,0,0,0,76,12,0,7,0,1,0,56
OG5_141702,0,1,0,0,0,0,1,37,2,1,0,1,0,0,0,2
OG5_141253,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1
OG5_158450,0,1,4,0,1,0,0,1,16,7,0,0,0,1,0,69
OG5_127648,40,80,46,0,5,0,6,0,268,16,13,32,19,2,0,191
OG5_127649,13,56,17,0,4,0,6,7,105,19,6,26,17,1,0,95
OG5_136025,12,23,19,0,0,0,0,0,49,1,3,2,6,1,0,65
OG5_127642,10,63,35,0,4,0,3,0,79,0,6,13,11,0,0,112
OG5_127643,27,74,40,0,2,0,6,0,171,14,8,33,16,2,0,162
OG5_127640,26,70,42,0,10,0,6,0,244,8,15,26,11,2,0,172
OG5_127641,34,71,40,0,5,0,3,22,284,16,12,34,18,2,0,185
OG5_127646,20,69,42,0,5,0,3,0,231,17,11,24,11,2,0,94
OG5_127647,31,66,36,0,0,0,2,546,176,1,8,24,19,2,0,119
OG5_127644,17,59,24,0,4,11,1,87,132,0,4,8,8,1,0,106
OG5_127645,20,64,37,0,1,39,6,99,197,13,13,25,12,1,0,176
OG5_130938,5,57,31,0,3,0,3,0,123,2,7,8,3,1,0,158
OG5_130939,9,30,18,0,0,0,0,1,129,0,1,10,0,1,0,4
OG5_129978,15,24,23,0,0,50,5,353,138,5,4,16,3,2,0,33
OG5_129979,32,32,29,0,0,27,0,390,91,0,2,11,19,1,0,11
OG5_129976,8,33,17,0,0,81,1,169,74,0,1,11,11,1,0,23
OG5_129977,22,1,19,0,0,16,3,294,64,0,0,17,17,1,0,17
OG5_129974,0,1,0,0,0,56,0,454,3,0,0,0,1,0,0,0
OG5_129975,0,1,0,0,0,93,0,425,0,0,0,0,3,0,0,1
OG5_130930,3,36,0,0,2,0,6,0,23,1,3,5,8,1,0,34
OG5_129973,25,64,35,0,4,0,2,0,64,0,3,6,17,1,0,132
OG5_129970,16,38,40,0,6,0,0,0,248,20,17,20,6,2,0,42
OG5_129971,30,2,31,0,0,0,3,266,206,14,11,27,13,1,0,167
OG5_135371,0,2,0,0,0,33,0,200,0,0,0,0,0,0,0,0
OG5_159307,0,6,6,0,0,0,0,27,9,0,0,2,0,0,0,0
OG5_135373,0,2,0,0,0,0,0,260,0,0,0,0,1,0,0,0
OG5_135372,2,3,0,0,0,48,0,324,6,0,0,0,0,0,0,11
OG5_135375,7,4,11,0,0,11,0,193,85,0,1,15,2,0,0,31
OG5_135374,4,0,11,0,0,10,0,116,14,0,1,0,2,1,0,5
OG5_176966,0,1,0,0,0,1,0,21,0,0,0,0,0,0,0,0
OG5_135379,4,3,21,0,0,0,0,69,112,11,2,12,2,0,0,76
OG5_139209,11,15,23,0,1,0,1,0,98,11,6,7,5,0,0,134
OG5_130330,8,1,4,0,0,67,0,417,40,0,1,0,0,0,0,27
OG5_139208,14,22,7,0,3,0,0,0,150,0,1,1,1,0,0,18
OG5_134354,11,28,32,0,5,0,1,0,154,0,3,9,0,1,0,113
OG5_134355,3,29,17,0,0,0,0,0,3,3,2,0,1,2,0,3
OG5_139408,5,15,28,0,0,0,1,0,82,0,3,5,2,0,0,41
OG5_134350,8,29,28,0,2,2,1,18,91,1,2,8,2,2,0,71
OG5_128379,23,66,36,0,4,0,3,0,119,1,6,16,17,2,0,112
OG5_131181,14,28,34,0,3,0,0,0,140,19,9,20,6,2,0,11
OG5_128377,28,63,27,0,5,0,3,19,136,4,7,12,15,1,0,82
OG5_137456,3,1,0,0,0,2,0,140,2,0,0,1,16,0,0,0
OG5_128375,33,66,40,0,9,0,5,0,226,1,10,35,18,2,0,167
OG5_128374,36,73,42,0,6,0,6,0,272,18,9,33,18,1,0,191
OG5_128373,24,76,25,0,3,0,6,0,167,19,12,19,14,2,0,73
OG5_139406,2,6,2,0,0,0,0,0,15,0,0,1,8,0,0,2
OG5_139405,0,12,2,0,0,5,0,102,22,0,1,8,1,0,0,51
OG5_139404,7,2,10,0,1,2,3,117,36,1,12,3,4,1,0,128
OG5_160493,0,0,0,0,0,0,0,65,0,0,0,0,1,0,0,0
OG5_130859,8,58,21,0,3,0,3,0,95,2,10,10,9,0,0,80
OG5_160497,0,1,0,0,0,0,0,79,0,0,0,0,0,0,0,0
OG5_132043,7,29,4,0,1,0,2,81,67,6,4,9,4,0,0,28
OG5_130853,15,63,23,0,0,0,2,0,88,0,1,6,7,1,0,78
OG5_130852,5,29,8,0,4,0,2,0,75,0,2,6,11,0,0,40
OG5_160498,3,0,12,0,0,0,0,81,58,0,0,3,5,0,0,7
OG5_130335,13,36,20,0,5,15,3,128,28,1,6,0,12,2,0,172
OG5_130857,2,4,3,0,0,53,0,362,24,0,1,0,0,0,0,12
OG5_130856,13,38,30,0,2,0,3,46,123,13,6,7,10,2,0,161
OG5_130855,2,7,21,0,0,58,0,224,11,0,0,1,11,1,0,7
OG5_130854,20,49,30,0,0,0,6,0,130,5,7,15,14,2,0,104
OG5_141897,3,15,11,0,1,0,1,0,62,0,5,3,0,0,0,151
OG5_139206,2,5,0,0,1,0,1,0,39,0,0,16,0,0,0,11
OG5_132046,21,29,24,0,0,0,2,0,98,14,6,14,18,2,0,49
OG5_145371,0,2,1,0,0,0,0,0,4,13,1,0,0,0,0,2
OG5_145377,1,14,0,0,0,0,3,40,27,1,2,1,1,0,0,11
OG5_160560,0,0,0,0,0,0,0,10,1,6,0,0,0,0,0,0
OG5_134630,12,27,1,0,0,0,0,0,5,0,0,0,3,0,0,18
OG5_135511,3,0,2,0,0,0,0,0,19,0,0,1,0,0,0,1
OG5_135510,4,22,11,0,1,0,0,0,103,0,4,12,8,1,0,4
OG5_135512,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
OG5_144362,4,13,15,0,0,0,0,0,25,0,2,0,1,1,0,10
OG5_144361,11,3,18,0,0,0,2,0,49,5,0,2,10,1,0,9
OG5_144364,1,0,3,0,0,0,0,0,5,13,2,0,1,0,0,5
OG5_134636,0,28,0,0,2,0,0,0,4,0,0,0,1,0,0,4
OG5_129666,8,38,8,0,1,6,1,111,70,1,1,3,13,0,0,8
OG5_131553,0,0,0,0,0,96,1,360,0,0,0,0,1,0,0,2
OG5_134635,15,1,5,0,0,0,0,0,59,1,3,19,14,1,0,17
OG5_139669,0,17,10,0,3,0,0,0,47,0,2,6,0,1,0,1
OG5_129667,26,48,42,0,3,0,4,0,209,11,2,18,11,0,0,179
OG5_139664,32,20,40,0,0,0,0,11,142,0,6,4,6,1,0,147
OG5_139663,14,21,34,0,1,1,2,8,177,1,7,8,1,2,0,185
OG5_139539,21,2,24,0,0,0,0,0,37,0,2,2,15,1,0,1
OG5_147623,23,5,40,0,0,0,0,3,270,6,11,17,4,1,0,49
OG5_129398,22,61,28,0,7,0,6,0,145,2,7,31,17,2,0,157
OG5_129399,10,30,25,0,0,8,2,251,151,9,2,11,14,0,0,137
OG5_130589,8,31,24,0,0,0,0,0,34,0,0,5,4,2,0,3
OG5_130588,37,37,43,0,3,0,3,0,175,11,7,21,13,2,0,187
OG5_129392,12,61,9,0,1,0,3,0,31,1,4,11,14,2,0,22
OG5_130584,2,21,10,0,1,55,2,383,63,2,2,0,1,0,0,37
OG5_129390,1,34,4,0,3,55,6,130,65,4,6,5,14,1,0,110
OG5_130586,6,29,16,0,1,0,1,4,31,2,2,2,10,1,0,51
OG5_130581,14,31,30,0,0,0,0,0,152,20,5,20,9,2,0,7
OG5_129397,27,75,27,0,1,0,3,0,169,1,5,20,18,2,0,83
OG5_129394,13,37,27,0,5,0,0,18,179,14,7,18,7,2,0,25
OG5_129395,23,47,46,0,3,0,1,0,286,20,16,29,13,2,0,171
OG5_129192,21,37,34,0,8,0,3,2,225,5,6,20,12,2,0,183
OG5_178923,0,1,0,0,0,1,1,28,10,0,0,0,0,0,0,3
OG5_150094,0,6,0,0,0,3,0,7,0,0,0,0,0,0,0,0
OG5_150096,8,0,3,0,0,1,0,33,16,0,0,1,11,1,0,3
OG5_150091,0,10,2,0,0,0,3,9,10,1,0,0,0,1,0,155
OG5_150090,0,3,0,0,0,0,0,0,2,0,0,6,1,0,0,0
OG5_149285,0,6,1,0,0,0,0,6,0,0,0,0,0,0,0,0
OG5_161654,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0
OG5_150098,3,2,0,0,0,0,0,0,5,1,0,0,8,0,0,11
OG5_139129,4,2,2,0,0,0,0,0,15,11,1,2,0,0,0,2
OG5_154938,0,7,1,0,0,0,0,1,1,0,0,0,0,0,0,4
OG5_139537,4,1,1,0,0,0,0,0,4,0,0,0,10,0,0,3
OG5_154937,1,0,2,0,0,29,0,194,10,0,0,2,1,0,0,42
OG5_139536,6,9,0,0,0,0,0,0,6,0,1,0,9,0,0,11
OG5_182054,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
OG5_129028,22,21,32,0,1,1,1,543,121,0,3,19,18,2,0,22
OG5_129029,10,67,30,0,1,0,1,0,156,12,6,8,10,1,0,80
OG5_129024,17,46,18,0,1,0,0,0,4,0,0,0,11,0,0,4
OG5_129025,33,66,33,0,6,2,3,0,265,7,10,16,18,1,0,195
OG5_129026,23,54,40,0,2,0,4,0,219,13,6,25,16,1,0,132
OG5_129027,25,67,23,0,2,0,3,0,135,3,3,29,19,1,0,52
OG5_129020,22,67,23,0,1,0,5,0,110,0,5,30,16,2,0,108
OG5_129021,13,36,30,0,8,0,0,0,160,6,4,16,10,1,0,53
OG5_129022,31,59,44,0,5,0,3,0,150,11,10,28,14,2,0,174
OG5_129023,30,39,40,0,4,0,3,0,139,13,5,23,14,2,0,156
OG5_131320,24,49,27,0,2,0,3,33,59,0,5,7,16,2,0,104
OG5_150549,4,0,4,0,2,0,0,0,156,8,7,8,0,0,0,64
OG5_134278,12,22,14,0,0,0,2,0,26,0,0,3,16,1,0,10
OG5_150541,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OG5_131459,3,36,17,0,4,0,0,0,145,0,2,6,3,0,0,35
OG5_131328,12,45,20,0,1,0,3,0,50,0,3,9,5,1,0,31
OG5_131329,13,14,24,0,3,2,1,124,87,1,1,8,17,2,0,14
OG5_129433,6,1,10,0,0,0,0,0,18,1,0,0,9,1,0,19
OG5_131450,10,59,6,0,2,0,3,0,6,3,1,4,1,1,0,107
OG5_131452,8,4,4,0,0,88,3,194,68,13,2,1,0,1,0,45
OG5_131453,10,31,31,0,2,0,0,5,219,0,2,12,0,2,0,36
OG5_131326,10,32,25,0,1,0,2,31,96,2,5,11,4,1,0,40
OG5_131455,0,24,2,0,0,0,0,0,15,0,0,2,0,0,0,4
OG5_131324,6,43,15,0,2,0,6,0,7,1,4,0,11,0,0,84
OG5_131457,23,39,16,0,2,0,0,5,26,0,0,8,15,2,0,22
OG5_130329,20,58,27,0,4,0,6,10,161,3,12,18,16,2,0,143
OG5_130328,19,30,39,0,2,0,0,0,248,19,10,25,8,2,0,112
OG5_137118,8,22,17,0,2,0,0,0,69,0,4,10,0,2,0,3
OG5_130321,32,4,26,0,0,108,3,248,95,1,1,7,18,1,0,67
OG5_137440,5,19,2,0,0,0,0,0,41,0,1,3,1,0,0,52
OG5_137115,8,16,11,0,5,0,3,0,71,0,7,3,0,0,0,127
OG5_130322,26,37,37,0,0,33,3,48,168,14,9,27,8,2,0,101
OG5_137113,0,22,6,0,0,0,3,0,1,0,2,0,0,1,0,45
OG5_130324,4,42,11,0,4,6,0,77,74,0,0,4,2,0,0,16
OG5_130327,0,35,0,0,1,0,0,1,8,0,1,0,0,0,0,2
OG5_130326,10,32,31,0,0,1,5,11,83,14,2,5,1,1,0,16
OG5_138138,0,0,3,0,0,2,3,16,5,2,0,0,0,0,0,1
OG5_161625,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0
OG5_138133,4,9,20,0,0,0,1,39,154,13,3,11,1,1,0,167
OG5_136860,29,9,28,0,1,0,3,16,169,1,7,12,14,1,0,131
OG5_136865,27,6,17,0,1,11,0,201,141,0,7,8,15,0,0,48
OG5_136866,10,2,27,0,0,0,3,174,129,1,4,9,3,1,0,153
OG5_137857,3,2,3,0,0,0,0,0,29,12,0,0,5,0,0,7
OG5_136868,8,17,1,0,0,0,0,0,2,0,0,0,2,0,0,7
OG5_136869,0,20,1,0,0,0,0,0,25,0,0,2,4,0,0,0
OG5_137586,1,8,2,0,0,0,0,0,38,12,1,0,0,0,0,5
OG5_134847,31,3,12,0,0,0,0,0,45,0,1,2,19,1,0,0
OG5_137587,2,24,6,0,1,0,0,0,49,0,0,4,0,0,0,31
OG5_137052,4,1,0,0,0,3,0,10,5,0,0,0,9,0,0,0
OG5_133871,7,31,2,0,2,1,0,0,33,0,0,0,0,0,0,7
OG5_134848,3,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0
OG5_146590,7,5,8,0,0,0,0,3,105,11,1,6,6,0,0,31
OG5_171107,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,8
OG5_146595,0,8,1,0,0,0,0,0,23,0,1,0,1,0,0,0
OG5_156261,5,8,16,0,0,0,1,181,87,5,8,5,0,1,0,67
OG5_134849,30,0,27,0,0,0,0,95,90,0,0,7,18,1,0,2
OG5_171108,0,0,2,0,0,0,2,21,9,0,0,1,0,0,0,1
OG5_163918,4,3,5,0,0,2,0,17,56,2,2,1,1,0,0,12
OG5_136248,12,22,18,0,2,0,0,0,37,3,3,5,0,1,0,3
OG5_143026,0,10,2,0,0,0,0,1,32,1,1,1,0,0,0,32
OG5_143028,14,21,19,0,2,2,1,82,84,2,3,5,4,1,0,115
OG5_163913,1,1,0,0,1,29,0,70,1,2,1,0,1,0,0,2
OG5_136247,3,3,14,0,2,0,3,0,30,1,3,1,0,0,0,177
OG5_136240,0,1,0,0,0,0,0,153,0,0,0,0,1,0,0,0
OG5_136241,0,1,0,0,0,13,0,124,0,0,0,0,2,0,0,0
OG5_149886,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OG5_139986,3,0,0,0,0,0,0,0,5,0,1,0,10,0,0,4
OG5_139987,1,11,6,0,5,0,0,0,78,7,1,2,1,0,0,10
OG5_139985,4,2,13,0,2,0,0,0,55,11,4,4,5,1,0,26
OG5_139980,0,1,2,0,0,0,0,0,22,0,0,18,1,0,0,0
OG5_139988,2,16,0,0,2,0,0,0,13,1,2,1,0,0,0,20
OG5_139989,4,17,5,0,0,0,0,0,11,0,2,1,0,0,0,3
OG5_127347,34,67,31,0,6,25,3,426,195,0,5,30,19,2,0,158
OG5_127346,17,58,33,0,5,0,3,0,147,13,4,18,16,1,0,177
OG5_127433,41,80,46,0,9,110,6,29,254,18,15,37,19,2,0,192
OG5_127344,17,55,22,0,7,8,1,113,98,0,2,12,5,1,0,110
OG5_127435,29,8,24,0,1,87,5,266,93,11,3,27,18,1,0,21
OG5_127434,28,78,34,0,3,2,6,3,191,19,8,36,18,2,0,151
OG5_127341,18,38,11,0,5,0,3,1,140,19,6,7,5,1,0,91
OG5_127436,20,64,18,0,5,1,3,379,77,18,5,9,3,0,0,157
OG5_127439,17,68,38,0,7,0,4,0,189,20,9,14,9,2,0,80
OG5_127438,42,76,48,0,13,0,6,1,285,20,10,36,19,2,0,198
OG5_138542,17,2,12,0,0,1,0,69,27,2,0,4,10,1,0,3
OG5_127349,31,77,32,0,2,109,6,10,195,20,9,37,19,2,0,139
OG5_127348,37,74,36,0,6,34,2,442,158,14,3,26,19,2,0,130
OG5_175825,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0
OG5_156659,10,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0
