,ee_bb,am_ib,ba_aq,ba_ar,am_ar,ba_fu,ex_fb,ba_is,am_is,ee_ib,ba_el,ex_ob,ba_ac,ba_ad,am_ab,ex_ox,am_my,am_mb,za_ba,ba_me,op_me,sr_st,ee_ce,ba_di,ba_cy,sr_ap,op_is,ee_cb,ex_ja,ex_jb,za_al,ba_df,ba_de,am_uk,ex_fo,za_as,op_ib,sr_rh,sr_ab,ee_cr,op_mb,am_ub,pl_gl,sr_rb,ba_pl,ee_hb,ex_eb,ee_ha,ba_pg,za_eu,ba_pd,za_ep,ba_pb,ba_pa,ex_eu,ba_ca,za_eh,ba_le,ee_br,za_ea,za_eb,za_ec,ba_cr,ba_cp,ex_is,ba_cv,ee_ub,ba_ts,ba_ge,ee_uk,ex_ma,ex_mb,ex_ib,ba_th,sr_di,ba_ch,ba_cn,ex_pb,ba_te,am_va,za_em,am_vb,ba_cd,sr_db,ba_fe,ba_sp,pl_gb,ex_pa,op_cb,ba_sy,op_ch,ee_ab,za_ey,ba_fn,am_db,sr_ch,sr_ci,ee_is,za_th,sr_cb,ba_fc,za_et,ba_ba,ex_he,ee_ap,ex_hb,pl_gr,ba_bi,ba_ft,ba_fb,am_di,sr_pe,ba_nt,am_tb,za_cr,op_fu,am_th,ba_bc,am_tu,op_nu,pl_rh,sr_pb,sr_sb,sr_ci_s,ba_ni,op_fb,pl_rb,op_ic,
OG5_134582,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,1,0,2,1,0,0,0,0,
OG5_134584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OG5_150344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
OG5_168666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,3,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
OG5_136396,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,6,0,0,0,0,1,0,0,0,0,
OG5_150229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OG5_143133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,90,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,1,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,
OG5_130112,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,12,0,0,0,17,2,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,20,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,17,0,0,0,8,0,0,0,0,13,1,0,13,0,0,0,0,0,0,0,0,3,
OG5_130113,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,11,0,0,0,15,32,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,21,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,3,2,0,13,0,0,0,17,1,0,0,0,13,1,0,21,0,0,0,0,3,0,0,0,2,
OG5_130110,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,12,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,9,0,0,4,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,11,3,0,0,0,0,0,2,4,0,30,0,0,0,14,0,0,0,0,1,1,0,37,0,13,0,0,1,0,0,0,2,
OG5_130116,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,1,6,0,0,0,18,55,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,50,0,14,0,0,5,3,0,0,0,12,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,1,0,0,0,1,1,44,5,0,1,0,0,0,2,5,0,15,0,0,0,3,1,0,0,0,5,0,0,33,0,0,0,1,43,0,0,0,0,
OG5_130117,1,4,11,1,0,9,0,0,1,1,3,0,32,13,4,0,5,5,1,0,1,8,0,2,96,0,0,1,1,1,0,4,9,0,0,0,0,10,1,0,2,0,0,22,14,0,1,5,31,0,34,0,19,33,1,8,0,1,0,0,4,0,2,3,0,20,1,4,3,0,1,0,1,10,18,19,0,0,0,0,1,0,5,24,1,16,18,0,0,8,0,3,1,1,10,0,2,0,0,66,13,0,26,1,0,0,7,2,2,13,2,0,1,70,0,1,1,18,51,0,4,0,11,0,3,0,3,0,
OG5_130114,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,18,53,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,25,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,1,2,0,12,0,0,0,9,0,0,0,0,0,1,0,44,0,0,0,0,12,0,0,0,0,
OG5_130115,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,1,13,0,0,0,20,14,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,45,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,13,4,0,0,0,0,0,4,4,0,18,0,0,0,13,0,0,0,0,10,1,0,67,0,0,0,0,30,0,1,0,2,
OG5_137728,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,0,1,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,10,0,0,2,0,0,0,0,1,1,2,0,0,0,7,0,0,4,0,10,0,0,36,0,4,0,0,13,0,0,0,0,
OG5_130118,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,16,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,3,0,0,0,0,0,0,1,0,7,0,0,0,4,0,0,0,0,2,0,0,17,0,0,0,0,7,0,0,0,2,
OG5_130119,0,0,0,0,0,1,0,0,6,0,0,0,5,1,2,0,9,2,0,0,11,49,4,0,0,2,0,0,2,0,0,0,3,1,0,4,0,16,0,2,0,0,4,2,0,0,0,1,0,0,2,0,1,6,4,0,10,0,1,1,0,0,0,0,0,4,0,0,1,0,1,0,0,0,16,3,0,0,0,1,2,0,0,0,0,2,0,0,0,1,1,0,1,0,2,0,5,3,0,5,0,0,0,2,6,0,7,0,0,1,18,2,0,21,13,7,1,0,103,0,10,0,0,3,0,0,0,2,
OG5_169392,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
OG5_136451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,
OG5_136982,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,1,0,0,0,0,
OG5_136453,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,6,33,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,15,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,2,0,0,0,0,0,0,2,0,28,0,0,0,12,0,0,0,0,0,1,0,15,0,6,0,0,6,0,0,0,1,
OG5_136452,1,0,4,1,0,1,0,0,0,0,2,0,18,7,1,0,0,0,0,0,0,1,0,0,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,11,1,0,0,0,13,1,2,0,10,17,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,30,3,0,6,0,0,0,1,0,0,7,0,0,0,22,1,6,0,0,3,0,0,0,1,0,1,0,0,0,
OG5_136455,1,1,0,0,3,0,0,0,5,0,0,0,0,0,1,0,3,3,0,0,11,34,3,0,0,2,0,11,0,0,0,0,0,1,0,0,0,21,0,12,4,1,3,7,0,4,1,8,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,0,0,1,0,2,0,1,0,10,0,0,5,1,0,0,0,1,0,0,7,1,13,2,0,14,0,0,0,0,5,0,8,0,0,0,15,0,0,55,0,0,1,0,104,0,2,0,9,35,0,0,0,0,
OG5_136986,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,1,53,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0,7,0,0,2,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,3,0,18,0,0,0,7,0,0,0,0,1,1,0,64,0,1,0,0,1,0,0,0,1,
OG5_142597,0,1,0,0,0,1,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,5,2,0,0,0,1,0,4,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,8,0,0,1,2,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
OG5_136984,1,0,0,0,2,4,0,0,2,1,0,0,11,2,0,0,4,0,0,0,4,13,1,0,37,3,0,0,0,0,0,0,5,0,0,1,1,31,1,10,0,0,4,11,2,0,0,3,9,0,1,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,29,9,0,0,0,0,0,0,0,5,0,1,2,0,0,0,0,2,0,0,1,1,32,0,0,8,0,0,3,0,1,0,16,0,0,4,5,1,0,1,0,0,0,0,32,0,4,0,9,22,0,0,3,0,
OG5_136988,0,2,0,0,5,0,0,0,6,0,0,0,1,0,2,1,5,4,1,0,6,44,3,0,1,2,0,3,0,0,0,0,0,1,0,0,0,42,1,12,0,1,4,6,0,5,1,13,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,29,0,0,0,0,1,0,0,0,11,0,0,6,0,0,0,0,0,0,0,7,0,18,5,0,5,0,0,0,0,1,0,27,0,0,0,21,1,0,52,0,0,0,0,124,0,10,0,10,12,0,0,5,1,
OG5_146377,0,3,0,0,6,0,0,0,12,1,0,1,0,0,0,1,17,1,0,0,23,37,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,57,0,7,1,0,1,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,2,0,1,0,3,0,0,2,1,0,0,1,0,0,0,19,0,12,3,0,3,0,0,0,3,5,0,0,0,0,0,31,0,0,16,0,15,1,0,145,0,1,0,2,4,0,0,0,3,
OG5_128715,1,5,11,0,0,4,0,0,2,0,0,0,16,6,0,0,5,8,0,0,2,23,0,2,16,1,0,4,0,1,0,1,3,0,0,1,0,5,2,1,2,1,2,20,5,0,2,0,21,0,13,3,10,14,4,0,25,0,0,0,4,4,1,0,0,9,0,3,0,0,0,0,0,1,1,9,0,0,0,0,10,0,1,0,0,5,8,0,0,0,0,1,1,0,6,1,5,0,0,32,5,2,11,1,1,0,15,0,1,8,5,0,0,25,9,15,0,5,13,0,6,0,6,5,1,0,4,1,
OG5_134631,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,11,13,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,40,0,10,0,0,3,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,0,3,0,23,0,0,0,7,0,0,0,0,1,0,0,82,0,1,0,0,26,0,0,0,1,
OG5_176377,0,1,1,0,4,0,0,0,4,1,0,0,0,3,1,1,8,0,0,0,13,35,2,0,20,4,0,4,2,0,0,0,0,1,0,2,0,34,0,10,1,0,1,9,1,0,0,0,0,1,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,19,3,1,0,0,0,2,0,0,6,0,7,0,1,0,1,0,0,0,0,3,0,38,3,0,14,0,0,0,2,4,1,5,1,0,0,11,0,0,17,0,4,1,0,40,0,2,0,5,37,0,0,0,0,
OG5_134637,0,5,0,0,0,0,0,0,1,1,0,0,13,0,1,0,1,2,0,0,7,36,0,0,32,1,0,5,0,0,0,0,2,0,0,0,0,6,0,2,2,0,0,12,0,2,0,11,0,0,7,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,2,0,0,0,1,0,0,0,24,0,1,5,0,0,0,0,0,0,0,5,1,3,0,0,5,0,0,0,0,1,1,2,0,0,3,3,1,0,33,0,0,0,0,2,0,6,0,5,1,0,0,5,0,
OG5_146372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,28,0,0,0,0,
OG5_176372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
OG5_134634,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,7,40,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,12,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,14,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,2,
OG5_147125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,2,0,2,5,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,12,0,2,15,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,
OG5_134639,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,54,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,36,0,7,5,0,0,28,0,5,1,5,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1,0,0,13,0,0,13,0,0,0,0,0,0,0,2,1,31,0,0,11,0,0,0,0,1,0,24,0,0,0,2,1,0,6,0,0,0,1,4,0,5,0,17,40,0,0,0,1,
