,ba,ee_ab,ee_bb,am_db,ee_cb,ex_jb,sr_cb,za,ex_mb,sr_db,ex_ob,op_ib,ex_hb,sr_ab,sr_pb,op_mb,ee_ib,sr_sb,am_ab,ex_fb,ee_hb,am_tb,ee_ub,am_vb,am_ib,ex_ib,am_ub,ex_pb,am_mb,op_cb,ex_eb,sr_rb,op_fb,pl_rb,pl_gb
OG5_130117,490,0.6,0,0.333333333,0.055555556,0.142857143,0.336585366,7,0,0.575,0,0,0,0,0,0,0.2,0.130952381,0.666666667,0,0,0.451612903,1,0,0.307692308,1,0,0,0.25,0,0,0.3,0,0.055555556,0.375
OG5_130115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025
OG5_137728,2,0,0,0.066666667,0,0,0.009756098,0,0,0.025,0,0,0.25,0,0,0,0,0,0,0,0.0625,0.025806452,0,0,0,0,0,0,0,0,0,0.042857143,0,0,0
OG5_130119,31,0,0,0.066666667,0,0,0.029268293,31,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0.129032258,0,0,0,0,0,0,0.0625,0,0,0.028571429,0,0,0
OG5_169392,12,0.2,0,0,0,0,0.058536585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038709677,0,0,0.076923077,0,0,0,0,0,0,0.028571429,0.333333333,0,0
OG5_136452,116,0.2,0,0.066666667,0.055555556,0,0.156097561,3,0,0,0,0,0,0,0,0,0,0.011904762,0.166666667,0,0,0.141935484,0,0,0,0,1,0,0,0,0,0.128571429,0,0,0
OG5_136455,0,0.2,0.333333333,0.233333333,0.611111111,0,0.073170732,0,0,0.25,0,0,0,0,0,0,0,0.083333333,0.166666667,0,0.25,0.341935484,0,1,0.076923077,0,1,1,0.1875,0,0,0.071428571,0,0,0.1
OG5_136986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025
OG5_136984,95,0.4,0,0.033333333,0,0,0.043902439,1,0,0.125,0,0,0,0,0,0,0.2,0.107142857,0,0,0,0.006451613,0,0,0,0,0,0,0,0,0,0.142857143,0,0.111111111,0.05
OG5_136988,2,0,0,0.233333333,0.166666667,0,0.024390244,1,0,0.25,0,0,0,0,0,0,0,0.071428571,0.333333333,0,0.3125,0.309677419,0,0,0.153846154,0,1,0,0.1875,0,0.2,0.057142857,0,0.166666667,0.125
OG5_146377,0,0,0,0.633333333,0,0,0.019512195,0,0,0.075,1,0,0,0,0,0,0.2,0.023809524,0,0,0,0.083870968,0,1,0.230769231,0,0,0,0.0625,0,0,0,0,0,0.05
OG5_162681,13,0,0,0,0,0,0.03902439,3,0,0.075,0,0,0,0,0,0,0,0.023809524,0,0,0,0.032258065,0,0,0.076923077,0,0,0,0,0,0,0.042857143,0,0,0.05
OG5_176377,42,0,0,0.1,0.222222222,0,0.063414634,5,0,0.15,0,0,0.25,0,0,0,0.2,0.05952381,0.166666667,0,0,0.096774194,0,0,0.076923077,0,0,0,0,0,0,0.014285714,0,0,0
OG5_134637,67,0,0,0.166666667,0.277777778,0,0.029268293,0,0,0.6,0,0,0.25,0,0,0.045454545,0.2,0.05952381,0.166666667,0,0.125,0.180645161,1,0,0.384615385,0,0,0,0.125,0,0,0.128571429,0,0.222222222,0.1
OG5_176372,0,0,0,0.033333333,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012903226,0,0,0,0,0,0,0,0,0,0,0,0,0
OG5_134634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0
OG5_147125,17,0,0,0,0,0,0.004878049,4,0,0.275,0,0,0,0,0,0,0,0.023809524,0,0,0.125,0.019354839,0,0,0,0,0,0,0,0,0,0.042857143,0,0,0.375
OG5_134639,5,0,0,0.066666667,0,0,0.053658537,1,0,0.3,0,0,0,0,0,0.045454545,0.2,0.202380952,0.166666667,0,0.3125,0.038709677,0,0,0,0,0,0,0.0625,0,0,0.242857143,0,0,0.25
OG5_159638,79,0.6,0,0.233333333,0.055555556,0.142857143,0.126829268,0,0.333333333,0,0,0,0.25,0,0,0,0.2,0.071428571,0.166666667,0,0.0625,0.283870968,0,0,0.230769231,0,1,0,0.25,0,0,0.157142857,0,0,0.1
OG5_140185,68,0.2,0,0.033333333,0.055555556,0.142857143,0.073170732,0,0,0,0,0,0,0,0,0,0,0.05952381,0,0,0,0.058064516,0,0,0.076923077,0,0,0,0,0,0,0.1,0,0,0
OG5_129018,0,0,0,0,0,0,0.004878049,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014285714,0,0,0
OG5_147126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0
OG5_148208,0,0,0,0,0,0,0.004878049,0,0,0.1,0,0,0,0,0,0,0,0.011904762,0,0,0,0.006451613,0,0,0,0,0,0,0.125,0,0,0.028571429,0,0.055555556,0
OG5_137585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012903226,0,0,0,0,0,0,0,0,0,0,0,0,0
OG5_175544,144,0,0,0.033333333,0.055555556,0,0.063414634,2,0,0,0,0,0,0,0,0,0,0.023809524,0.166666667,0,0,0.058064516,1,0,0,0,0,0,0,0,0,0.042857143,0,0,0
OG5_137855,0,0,0,0,0.055555556,0,0.004878049,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG5_137580,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012903226,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0
OG5_140180,98,0.4,0,0,0.055555556,0,0.019512195,0,0,0.2,0,0,0.25,0,0,0,0,0.011904762,0.166666667,0,0.125,0.032258065,0,0,0,0,0,0,0.1875,0,0,0.2,0,0.277777778,0.05
OG5_137582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011904762,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0
OG5_137583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006451613,0,0,0,0,0,0,0,0,0,0,0,0,0
OG5_137858,172,0.4,0,0.1,0,0.142857143,0.136585366,7,0,0,0,0,0,0,0,0.136363636,0,0.071428571,0,0,0,0.077419355,0,0,0.076923077,0,0,0,0.0625,0,0,0.128571429,0,0.055555556,0.05
OG5_169714,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006451613,0,0,0,0,0,0,0,0,0,0,0,0,0
OG5_136672,0,0,0,0,0.055555556,0,0.009756098,0,0,0.175,0,0,0,0,0,0,0,0.023809524,0.166666667,0,0.0625,0.012903226,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0.025
OG5_136679,106,0.4,0.333333333,0.1,0.111111111,0.142857143,0.214634146,0,0,0.35,1,0,0,0,0,0,0,0.083333333,0.5,0,0.0625,0.122580645,1,0,0,0,0,0,0.0625,0,0,0.185714286,0,0,0.075
OG5_144629,67,0.4,0,0.066666667,0,0,0.175609756,1,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0.412903226,1,0,0,0,1,0,0.0625,0,0,0.142857143,0,0,0.025
OG5_144628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025
OG5_133005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006451613,0,0,0,0,0,0,0,0,0,0.014285714,0,0,0
OG5_129998,71,0.2,0,0.233333333,0.166666667,0,0.136585366,0,0.333333333,0.2,0,0,0.25,0,0,0.136363636,0.2,0.107142857,0.333333333,0,0.0625,0.225806452,0,1,0.230769231,0,1,0,0.1875,0,0.4,0.171428571,0,0.111111111,0.1
OG5_133006,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014285714,0,0,0
OG5_133003,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006451613,0,0,0,0,0,0,0,0,0,0,0,0,0
OG5_133002,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG5_129012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014285714,0,0,0
OG5_129016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014285714,0,0,0
OG5_129448,199,0,0,0.2,0.166666667,0,0.195121951,3,0,0.05,0,0,0,0,0.5,0,0,0.035714286,0.166666667,0,0,0.212903226,1,0,0.153846154,0,0,0,0.0625,0,0,0.171428571,0,0,0.05
OG5_141289,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG5_126770,38,0.8,0,0.2,0.222222222,0.428571429,0.068292683,0,0.333333333,0.1,0,0,0.25,0,0,0,0.6,0.119047619,0.666666667,0,0,0.109677419,0,0,0.384615385,0,1,0,0.5,0,0.6,0.085714286,0,0,0.125
OG5_126773,211,0.8,0.333333333,0.2,0.5,0.285714286,0.23902439,3,0,0.45,0,0,0.25,0,0,0.227272727,0.4,0.226190476,0.5,0,0.5,0.180645161,1,0,0.153846154,0,1,1,0.0625,1,0,0.228571429,0,0.166666667,0.25
OG5_126772,110,0,0.333333333,0.5,0.055555556,0,0.195121951,8,0.333333333,0.325,1,0,0,0.5,0,0.045454545,0.2,0.095238095,0.333333333,0,0.25,0.251612903,0,0,0.230769231,0,1,0,0.1875,0,0,0.285714286,0,0,0.175
OG5_126775,293,0.8,0.333333333,0.566666667,0.277777778,0.142857143,0.502439024,46,0,0.325,0,0,0.5,0,0,0,0.4,0.25,0.666666667,0.5,0.75,0.838709677,0,0,0.538461538,0,1,0,0.5,0,0.2,0.528571429,0.333333333,0.055555556,0.6
OG5_126777,507,0.8,0,0.333333333,0.166666667,0.285714286,0.351219512,92,0.333333333,0.125,0,0,0.25,0,0,0.045454545,0,0.285714286,0.333333333,0,0.25,0.303225806,1,0,0.307692308,0,1,0,0.3125,0,0,0.342857143,0,0.277777778,0.5
OG5_126776,514,0.4,0,0.366666667,0.277777778,0.142857143,0.390243902,92,0.333333333,0.125,1,0,0.25,0,0,0,0.4,0.285714286,0.333333333,0,0.25,0.367741935,1,0,0.230769231,0,0,0,0.25,0,0,0.542857143,0,0.166666667,0.5
OG5_126779,250,0.6,0,0.233333333,0.333333333,0.142857143,0.43902439,0,0,0.125,0,0,0,0,0,0.045454545,0.2,0.19047619,0.5,0,0,0.496774194,1,0,0.230769231,0,1,0,0.125,0,0,0.328571429,0,0,0.05
OG5_126778,232,0.8,0.333333333,0.566666667,0.333333333,0.285714286,0.27804878,28,0.333333333,0.3,1,0,0,0,0,0.090909091,0.4,0.285714286,0,0,0.3125,0.432258065,1,1,0.307692308,0,1,1,0.5625,1,0,0.5,0,0.166666667,0.2
OG5_171684,37,0,0,0,0.111111111,0,0.048780488,1,0,0,0,0,0.25,0,0,0,0,0.011904762,0.5,0,0,0.051612903,0,0,0.076923077,0,0,0,0,0,0,0.057142857,0,0,0
OG5_147026,27,0,0,0,0,0,0.004878049,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019354839,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0
OG5_128137,1,0,0,0,0,0,0,3,0,0.025,0,0,0,0,0,0,0,0.023809524,0,0,0,0.038709677,0,0,0,0,0,0,0,0,0,0,0,0,0
OG5_156946,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG5_136183,3,0.2,0,0.033333333,0.055555556,0,0.004878049,1,0,0.15,1,0,0,0,0,0.045454545,0,0.023809524,0.166666667,0,0.125,0.019354839,0,0,0,0,0,0,0.0625,0,0.2,0.028571429,0,0,0.075
OG5_136182,0,0,0,0,0,0,0.009756098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006451613,0,0,0,0,0,0,0,0,0,0,0,0,0
OG5_136181,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG5_136187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0.014285714,0,0,0
OG5_136186,0,0,0,0,0,0,0.004878049,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0.0625,0.025806452,0,0,0,0,0,0,0,0,0.2,0.014285714,0,0,0
OG5_172133,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG5_155117,1,0,0,0.366666667,0.111111111,0.142857143,0.029268293,9,0,0.025,0,0,0,0,0,0,0,0.035714286,0,0,0,0.116129032,0,0,0.230769231,0,1,1,0.1875,0,0,0.271428571,0,0,0
OG5_132306,85,0,0,0.033333333,0,0,0.029268293,0,0,0,0,0,0,0,0,0,0,0.011904762,0,0,0,0.025806452,0,0,0.153846154,0,0,0,0,0,0,0.028571429,0,0,0
OG5_127113,208,0.4,0,0.1,0.277777778,0,0.151219512,2,0.333333333,0,0,0,0,0,0,0,0,0.047619048,0.166666667,0,0,0.129032258,0,0,0.076923077,0,1,0,0.0625,0,0,0.114285714,0,0.055555556,0.05
OG5_150388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014285714,0,0,0.05
OG5_132350,111,0,0,0.1,0,0,0.170731707,38,0,0.125,0,0,0.25,0,0,0.090909091,0,0.071428571,0,0,0,0.212903226,0,1,0.076923077,0,1,0,0.0625,0,0.2,0.257142857,0,0,0.025
OG5_132351,264,0.4,0.333333333,0.166666667,0.333333333,0,0.180487805,36,0,0.125,0,0,0,0,0,0.045454545,0.2,0.19047619,0.5,0,0,0.735483871,0,0,0.076923077,0,1,0,0.125,0,0,0.414285714,0,0,0.15
OG5_132604,0,0,0,0.033333333,0.055555556,0,0.019512195,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0.019354839,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0.025
OG5_132357,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014285714,0,0,0
OG5_132354,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG5_128077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042857143,0,0,0
OG5_132358,8,0,0,0,0,0,0.004878049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG5_129338,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG5_182858,0,0,0,0,0,0,0.029268293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG5_133915,28,0,0,0.033333333,0,0,0.019512195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012903226,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0.025
OG5_128379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0
OG5_169823,16,0,0,0.033333333,0.111111111,0,0.024390244,0,0.333333333,0.075,0,0,0,0,0,0,0,0.047619048,0,0,0,0.038709677,0,0,0.153846154,0,0,0,0.0625,0,0,0.057142857,0,0.055555556,0
OG5_164059,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0.011904762,0,0,0,0.006451613,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0
OG5_164056,33,0.2,0,0.033333333,0,0,0.048780488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258065,1,0,0,0,0,0,0.0625,0,0,0.014285714,0,0,0
OG5_136029,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0.011904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG5_158960,7,0,0,0,0,0,0.004878049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019354839,0,0,0,0,0,0,0,0,0,0,0,0,0
OG5_158963,11,0,0,0.033333333,0.277777778,0,0.009756098,0,0,0.225,0,0,0,0,0,0,0,0.071428571,0,0,0.1875,0.012903226,0,0,0.076923077,0,0,0,0,0,0,0.028571429,0,0,0.25
OG5_158962,131,0,0,0.033333333,0,0,0.112195122,0,0,0,0,0,0,0,0,0,0,0.011904762,0.166666667,0,0,0.096774194,1,0,0,0,1,0,0,0,0,0.085714286,0,0,0
OG5_141259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025
OG5_158967,80,0,0,0.033333333,0,0,0.009756098,0,0,0.125,0,0,0,0,0,0,0.2,0.011904762,0,0,0.0625,0.064516129,0,0,0,0,0,0,0.1875,0,0,0.057142857,0.333333333,0,0
OG5_141708,58,0,0,0,0,0,0.034146341,1,0,0,0,0,0,0,0,0,0.2,0.023809524,0.166666667,0,0,0.064516129,0,0,0.076923077,0,0,0,0,0,0,0.071428571,0,0,0
OG5_141255,36,0,0,0.033333333,0,0,0.043902439,0,0,0.05,0,0,0,0,0,0,0,0.083333333,0.166666667,0,0,0.425806452,0,0,0,0,1,0,0,0,0,0.042857143,0,0,0.025
OG5_141706,58,0.2,0,0.1,0,0,0.180487805,0,0,0,1,0,0,0,0,0.090909091,0.4,0.023809524,0.333333333,0,0,0.161290323,1,0,0.076923077,0,0,0,0.0625,0,0,0.157142857,0,0,0.025
OG5_141705,49,0.4,0,0.1,0.166666667,0,0.12195122,0,0,0,0,0,0,0,0,0,0,0.035714286,0.166666667,0,0,0.083870968,0,0,0.076923077,0,0,0,0,0,0,0.128571429,0,0,0.025
OG5_141703,0,0,0,0,0,0,0.009756098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG5_141702,30,0,0,0.033333333,0,0,0.014634146,0,0,0.025,1,0,0,0,0,0,0,0.035714286,0,0,0,0.038709677,0,0,0.076923077,0,0,0,0.125,0,0,0.042857143,0,0,0
OG5_127649,5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.019354839,0,0,0,0,0,0,0,0,0,0,0,0,0.025
OG5_136025,0,0,0,0.033333333,0,0,0.004878049,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0.025806452,0,0,0.076923077,0,0,0,0.0625,0,0,0,0,0,0.025
OG5_127642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG5_136987,62,0,0,0.1,0.055555556,0,0.092682927,3,0,0.075,0,0,0,0,0,0,0.2,0.035714286,0,0.5,0,0.032258065,0,0,0,0,0,0,0.25,0,0,0.042857143,0,0,0.075
OG5_127640,0,0,0,0.033333333,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.011904762,0,0,0.0625,0.006451613,0,0,0,0,0,0,0,0,0,0,0,0,0.025
OG5_127641,19,0.4,0,0.033333333,0.055555556,0,0.053658537,0,0,0,0,0,0,0,0,0,0,0.023809524,0.166666667,0,0,0.051612903,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0
OG5_127646,0,0,0,0,0,0,0.058536585,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0.0625,0.006451613,0,0,0,0,0,0,0,0,0,0.042857143,0,0,0
OG5_127647,510,0.6,0.333333333,0.3,0.277777778,0.428571429,0.443902439,0,1,0.325,1,0,0,0,0,0,0.6,0.19047619,0.5,0,0,0.419354839,1,0,0.230769231,0,1,0,0.125,0,0.2,0.371428571,0,0.222222222,0.575
OG5_127644,83,0.6,0,0.1,0.055555556,0,0.082926829,10,0,0.2,0,0,0,0,0,0,0.2,0.119047619,0.333333333,0,0.125,0.632258065,0,0,0.230769231,0,1,0,0,0,0,0.2,0,0,0.025
OG5_127645,93,0.2,0,0.033333333,0.055555556,0,0.03902439,34,0,0.125,0,0,0,0,0,0,0,0.05952381,0.333333333,0,0.0625,0.051612903,0,0,0.076923077,0,0,1,0.0625,0,0,0.042857143,0,0.166666667,0.05
OG5_130938,0,0,0,0,0,0,0.009756098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006451613,0,0,0,0,0,0,0,0,0,0,0,0,0.025
OG5_130939,1,0.2,0,0,0.333333333,0,0.136585366,0,0,0.525,0,0,0,0,0,0.045454545,0.4,0.19047619,0,0,0.3125,0.006451613,0,0,0.076923077,0,0,0,0,0,0,0.085714286,0,0,0.225
OG5_129978,336,0.6,0.333333333,0.166666667,0.277777778,0.142857143,0.185365854,45,0,0.225,1,0,0,0,0,0,0.2,0.083333333,0.666666667,0,0,0.122580645,0,0,0.230769231,0,0,0,0.625,0,0,0.171428571,0,0.111111111,0.125
OG5_129979,363,0.6,0.333333333,0.233333333,0.166666667,0,0.317073171,24,0,0,0,0,0,0,0,0,0,0.047619048,0.5,0,0,0.264516129,1,0,0.230769231,0,0,0,0.125,0,0,0.285714286,0,0,0.05
OG5_129976,164,0.4,0,0.2,0.111111111,0,0.170731707,70,0,0.025,0,0,0,0,0,0,0,0.047619048,0.666666667,0,0,0.174193548,1,0,0.076923077,0,0,0,0.125,0,0,0.171428571,0,0,0.025
OG5_129977,273,0.4,0,0.233333333,0.166666667,0.142857143,0.185365854,11,0.333333333,0.45,0,0,0,0,0,0.090909091,0,0.05952381,0.333333333,0,0.0625,0.361290323,0,0,0.153846154,0,1,0,0.125,0,0,0.2,0,0.055555556,0.2
OG5_129974,420,0.4,0.333333333,0.266666667,0.166666667,0.142857143,0.463414634,45,0,0,1,0,0,0.5,0,0.045454545,0,0.107142857,0.833333333,0,0,0.464516129,1,0,0.230769231,0,1,0,0.125,0,0,0.357142857,0,0,0.075
OG5_129975,401,0.4,0.333333333,0.166666667,0.055555556,0,0.370731707,79,0,0,1,0,0,0,0,0.090909091,0,0.071428571,0.333333333,0,0,0.451612903,1,0,0.076923077,0,1,0,0.1875,0,0,0.271428571,0,0,0.075
OG5_129972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0.014285714,0,0,0
OG5_129971,242,0.8,0,0.1,0.166666667,0.142857143,0.385365854,0,0,0.025,1,0,0,0.5,0,0,0,0.095238095,0.666666667,0,0,0.303225806,1,0,0.230769231,0,1,0,0.0625,0,0,0.5,0,0,0.025
OG5_135371,188,0.4,0.333333333,0.033333333,0.111111111,0.142857143,0.141463415,29,0,0,0,0,0,0,0,0,0.2,0.023809524,0.5,0,0,0.077419355,0,0,0,0,0,0,0.0625,0,0,0.171428571,0,0,0
OG5_159307,24,0,0,0,0,0,0.004878049,0,0,0,0,0,0,0,0,0,0,0.011904762,0.166666667,0,0,0.019354839,0,0,0,0,0,0,0,0,0,0.042857143,0,0,0
OG5_135373,245,0.8,0,0.233333333,0.055555556,0.142857143,0.317073171,0,0,0,1,0,0,0,0,0.090909091,0,0.083333333,0.5,0,0,0.44516129,1,0,0.307692308,0,1,0,0.125,0,0,0.214285714,0,0,0.05
OG5_135372,308,0.6,0,0.2,0.111111111,0,0.346341463,45,0.333333333,0,0,0,0,0,0,0,0.2,0.05952381,0.5,0,0,0.341935484,1,0,0,0,0,0,0.25,0,0,0.257142857,0,0,0.05
OG5_135375,178,0.4,0,0.333333333,0.277777778,0,0.282926829,9,0,0.25,0,0,0,0,0,0.045454545,0.4,0.119047619,0,0,0.3125,0.425806452,1,0,0.153846154,0,1,0,0.0625,1,0.2,0.271428571,0,0.111111111,0
OG5_135374,97,0.2,0.333333333,0.066666667,0.055555556,0.142857143,0.185365854,10,0,0.025,0,0,0,0,0,0,0.2,0.05952381,0.666666667,0,0.0625,0.135483871,0,0,0.153846154,0,0,0,0.0625,0,0.2,0.2,0,0,0.1
