,Ba,EE,Sr,Op,Am,Za,Pl,Ex
OG5_136679,106,7,78,0,26,0,3,2
OG5_144629,67,3,50,0,68,1,1,0
OG5_144628,0,0,1,0,0,0,1,0
OG5_133005,0,0,1,0,1,0,0,0
OG5_129998,71,6,57,3,52,0,6,4
OG5_133006,0,2,1,0,0,0,0,0
OG5_133003,0,0,0,0,2,0,0,0
OG5_133002,0,0,1,0,0,0,0,0
OG5_129012,0,0,2,0,0,0,0,0
OG5_129016,0,0,1,0,0,0,0,0
OG5_129448,199,4,58,0,43,3,2,0
OG5_141289,4,0,0,0,0,0,0,0
OG5_126770,38,11,34,0,41,0,5,8
OG5_126773,211,25,102,6,41,3,13,4
OG5_126772,110,7,82,1,63,8,7,2
OG5_126775,293,24,174,1,167,46,25,5
OG5_126777,507,12,125,1,69,92,25,4
OG5_126776,514,14,147,0,77,92,23,4
OG5_126779,250,11,134,1,93,0,2,1
OG5_126778,232,19,128,3,99,28,11,5
OG5_171684,37,2,15,0,12,1,0,1
OG5_147026,27,0,3,0,3,32,0,0
OG5_128137,1,0,3,0,6,3,0,0
OG5_156946,0,0,0,0,0,2,0,0
OG5_136183,3,4,11,1,6,1,3,2
OG5_136182,0,0,2,0,1,0,0,0
OG5_136181,0,0,1,0,0,0,0,0
OG5_136187,0,0,1,0,1,0,0,0
OG5_136186,0,1,3,0,4,0,0,1
OG5_172133,0,0,0,0,0,5,0,0
OG5_155117,1,2,29,0,36,9,0,2
OG5_132306,85,0,9,0,7,0,0,0
OG5_127113,208,7,43,0,27,2,3,1
OG5_150388,0,0,1,0,0,0,2,0
OG5_132350,111,0,64,2,40,38,1,2
OG5_132351,264,10,87,1,126,36,6,0
OG5_132604,0,1,6,0,4,0,2,0
OG5_132357,0,0,1,0,0,0,0,1
OG5_132354,0,1,0,0,0,0,0,0
OG5_128077,0,0,3,0,0,0,0,0
OG5_132358,8,0,1,0,0,0,0,0
OG5_129338,0,0,0,0,1,0,0,0
OG5_182858,0,0,6,0,0,0,0,0
OG5_133915,28,0,6,0,3,1,1,0
OG5_128379,0,0,0,0,1,0,0,0
OG5_169823,16,2,16,0,10,0,1,1
OG5_164059,1,0,1,0,2,9,0,0
OG5_164056,33,2,11,0,7,0,0,0
OG5_136029,0,0,2,0,0,0,0,0
OG5_158960,7,0,1,0,3,0,0,0
OG5_158963,11,8,19,0,4,0,10,0
OG5_158962,131,1,30,0,18,0,0,0
OG5_141259,1,1,0,0,0,0,1,0
OG5_158967,80,2,12,1,14,0,0,0
OG5_141708,58,1,14,0,12,1,0,0
OG5_141255,36,0,21,0,69,0,1,0
OG5_141706,58,4,50,2,32,0,1,1
OG5_141705,49,5,37,0,18,0,1,0
OG5_141703,0,0,2,0,0,0,0,0
OG5_141702,30,0,10,0,10,0,0,1
OG5_127649,5,2,0,0,3,0,1,0
OG5_136025,0,0,1,0,8,0,1,0
OG5_127642,0,0,2,0,0,0,0,0
OG5_136987,62,2,28,0,12,3,3,1
OG5_127640,0,1,3,0,2,0,1,0
OG5_127641,19,3,18,0,10,0,0,0
OG5_127646,0,1,17,0,1,0,0,0
OG5_127647,510,13,146,0,83,0,27,8
OG5_127644,83,7,49,0,107,10,1,0
OG5_127645,93,3,21,0,13,34,5,1
OG5_130938,0,0,2,0,1,0,1,0
OG5_130939,1,14,71,1,2,0,9,0
OG5_129978,336,10,66,0,41,45,7,2
OG5_129979,363,8,89,0,56,24,2,0
OG5_129976,164,5,52,0,40,70,1,0
OG5_129977,273,6,75,2,70,11,9,2
OG5_129974,420,7,130,1,91,45,3,2
OG5_129975,401,5,101,2,82,79,3,1
OG5_129972,0,0,1,0,1,0,0,0
OG5_129971,242,8,124,0,59,0,1,2
OG5_135371,188,6,43,0,17,29,0,1
OG5_159307,24,0,5,0,4,0,0,0
OG5_135373,245,6,87,2,86,0,2,2
OG5_135372,308,7,94,0,66,45,2,1
OG5_135375,178,15,97,2,80,9,2,1
OG5_135374,97,5,58,0,30,10,4,2
OG5_176966,19,0,13,1,7,1,0,0
OG5_135379,67,14,69,1,31,0,4,2
OG5_135797,1,0,2,0,3,0,0,0
OG5_130330,384,5,91,2,58,60,2,2
OG5_134354,0,0,1,0,1,0,0,0
OG5_167618,3,0,2,0,0,0,0,0
OG5_139408,0,6,15,0,20,0,0,0
OG5_134350,16,14,46,0,22,2,2,0
OG5_131180,67,0,22,0,12,0,0,1
OG5_128378,0,0,4,0,1,0,0,0
OG5_128377,19,1,3,0,3,0,0,0
OG5_137456,134,3,21,0,11,2,25,0
OG5_128375,0,2,11,0,11,0,1,1
OG5_139400,0,0,1,0,1,0,0,0
OG5_139407,59,15,106,0,48,2,5,1
OG5_139406,0,9,47,0,14,0,3,1
OG5_139405,100,8,37,0,48,5,1,1
OG5_139404,107,1,28,0,21,1,4,0
OG5_160493,61,2,40,0,90,0,1,0
OG5_160497,74,0,13,0,10,0,0,0
OG5_139204,0,1,1,0,1,0,1,0
OG5_130852,0,0,1,0,1,0,1,0
OG5_160498,79,0,46,0,18,0,11,0
OG5_130335,117,3,31,0,21,10,2,1
OG5_130857,343,8,118,2,92,46,0,3
OG5_130856,43,2,6,0,5,0,1,0
OG5_130855,208,10,74,1,38,47,2,3
OG5_130854,0,0,0,0,1,0,0,0
OG5_141897,0,0,1,0,0,0,0,0
OG5_145377,40,5,19,0,19,0,5,3
OG5_134630,0,0,1,0,0,0,3,0
OG5_135512,0,0,0,0,0,0,0,1
OG5_144361,0,0,4,0,1,0,1,1
OG5_129195,4,0,1,0,12,0,0,0
OG5_139664,11,19,54,0,95,0,13,3
OG5_139663,8,31,113,1,133,0,7,4
OG5_138550,12,0,2,0,0,2,0,0
OG5_147623,3,2,4,0,0,0,0,0
OG5_129398,0,1,0,0,1,0,0,0
OG5_129399,238,12,146,1,88,7,9,4
OG5_130589,0,1,5,0,1,0,1,1
OG5_130584,369,8,102,0,62,53,5,1
OG5_129390,121,7,43,0,27,46,23,1
OG5_130586,4,1,9,0,8,0,5,0
OG5_130581,0,0,0,0,0,0,1,0
OG5_130580,10,0,9,0,19,0,0,0
OG5_130583,9,0,12,0,1,2,1,1
OG5_129395,0,1,2,0,3,0,0,0
OG5_129660,0,3,2,0,1,0,0,0
OG5_178923,25,1,3,1,3,1,0,0
OG5_150094,5,0,1,0,10,2,0,0
OG5_150096,31,3,37,0,8,1,13,0
OG5_150091,9,3,14,0,82,0,1,1
OG5_149285,5,0,1,0,0,0,0,0
OG5_154938,0,0,1,0,2,0,0,1
OG5_154937,188,3,47,3,121,28,2,0
OG5_182054,1,0,0,0,0,0,0,0
OG5_129028,507,15,172,1,138,1,25,5
OG5_128359,1,1,4,0,3,0,0,0
OG5_129025,0,0,0,0,0,2,0,0
OG5_129027,0,0,1,0,0,0,0,0
OG5_178484,2,0,3,0,0,6,1,0
OG5_129021,0,2,12,0,6,0,1,0
OG5_129022,0,0,1,0,0,0,0,0
OG5_129023,0,0,1,0,0,0,0,0
OG5_150549,0,0,1,0,2,0,0,0
OG5_131328,0,0,0,0,0,0,1,0
OG5_131329,118,17,107,4,132,2,29,3
OG5_131320,32,3,10,1,60,0,5,1
OG5_131453,5,0,2,0,1,0,0,0
OG5_131326,29,2,34,0,11,0,3,0
OG5_131455,0,1,3,0,1,0,0,0
OG5_131457,5,0,2,0,5,0,1,0
OG5_130329,10,0,3,0,2,0,0,1
OG5_130328,0,0,1,0,0,0,0,0
OG5_130321,240,2,41,0,22,93,16,0
OG5_137443,0,0,0,0,1,0,0,0
OG5_130322,48,0,6,0,4,31,0,0
OG5_130324,74,4,34,0,37,6,1,1
OG5_130327,0,1,0,0,0,0,0,0
OG5_130326,11,10,20,0,9,1,5,1
OG5_129432,34,1,21,0,8,5,3,1
OG5_138138,16,2,5,0,2,2,0,2
OG5_161625,2,1,22,0,6,0,1,0
OG5_138133,36,16,44,0,59,0,0,1
OG5_136860,16,1,5,0,15,0,7,6
OG5_136865,198,8,64,0,26,11,11,1
OG5_136866,161,11,56,0,131,0,5,3
OG5_137857,0,0,2,0,0,0,0,0
OG5_136868,0,0,1,0,0,0,0,0
OG5_134847,0,1,1,0,0,0,4,0
OG5_131783,0,1,17,0,6,0,2,0
OG5_171107,3,0,0,0,0,0,0,0
OG5_156261,180,15,72,1,41,0,3,5
OG5_171108,17,1,7,0,9,0,1,0
OG5_129553,2,1,10,0,6,0,0,1
OG5_163918,16,3,76,0,57,2,2,2
OG5_143026,0,1,2,0,5,0,0,1
OG5_143028,81,10,42,1,47,2,6,3
OG5_163913,69,0,14,0,11,25,0,2
OG5_136247,0,0,0,0,6,0,0,0
OG5_136240,132,7,63,0,31,0,1,0
OG5_136241,111,3,36,3,56,13,1,1
OG5_144700,15,2,11,0,11,0,0,0
OG5_139985,0,0,0,0,1,0,0,0
OG5_160937,0,0,0,0,1,0,0,0
OG5_127347,395,9,87,0,51,23,30,1
OG5_127430,0,1,3,0,0,0,0,0
OG5_127433,27,2,41,0,19,94,1,1
OG5_127344,109,28,115,5,180,8,16,3
OG5_127435,245,3,46,1,22,75,6,1
OG5_127342,213,12,147,1,151,18,18,3
OG5_127341,1,2,28,0,34,0,0,1
OG5_127436,352,19,97,0,89,0,5,4
OG5_127439,0,0,7,0,3,0,0,2
OG5_127438,1,1,13,0,4,0,0,0
OG5_127349,9,1,4,0,2,93,0,0
OG5_127348,415,10,106,0,81,32,2,1
OG5_175825,4,1,1,0,2,0,0,0
OG5_156658,0,0,0,0,3,0,0,0
OG5_156656,0,0,1,0,0,0,2,0
OG5_159170,36,0,9,0,22,0,2,0
OG5_149919,104,2,39,0,120,8,0,4
OG5_133748,14,1,23,0,16,59,1,0
OG5_133749,285,4,45,0,27,42,0,1
OG5_133747,94,3,18,0,23,81,0,1
OG5_133744,298,3,53,0,23,0,1,0
OG5_133213,0,1,0,0,1,1,0,0
OG5_149916,16,1,6,0,8,0,3,0
OG5_149917,0,0,1,0,0,0,0,0
OG5_133217,0,0,1,0,0,0,0,0
OG5_133470,0,0,1,0,0,0,0,0
OG5_142480,0,0,0,0,0,0,0,1
OG5_142483,6,0,0,0,0,51,0,0
OG5_142486,107,6,60,0,27,4,2,2
OG5_140393,32,6,24,0,71,14,1,1
OG5_135741,247,3,44,0,19,30,0,1
OG5_135742,224,2,38,0,16,50,1,0
OG5_140390,0,5,11,0,19,0,3,0
OG5_135744,221,6,79,0,46,49,0,0
OG5_140424,1,5,3,0,2,0,1,1
OG5_135746,106,2,27,0,13,22,11,0
OG5_135747,288,2,59,0,24,37,0,0
OG5_135749,15,0,3,0,9,0,0,0
OG5_140399,0,0,2,0,1,0,0,0
OG5_133477,1,0,10,0,1,0,0,1
OG5_149707,30,1,13,0,12,0,0,0
OG5_129439,0,0,0,1,1,0,0,0
OG5_150307,7,1,9,0,1,0,6,0
OG5_144552,83,8,42,1,27,3,5,0
OG5_150301,1,2,5,0,3,0,0,2
OG5_144557,49,1,28,0,7,0,7,0
OG5_150302,14,2,11,0,3,0,1,0
OG5_144559,0,0,3,0,0,0,0,0
OG5_150309,0,0,0,0,0,0,1,0
OG5_128610,1,0,2,0,4,1,0,0
OG5_128611,0,0,1,0,3,0,0,0
OG5_128612,392,4,84,1,62,85,7,2
OG5_142730,0,0,8,0,2,0,1,0
OG5_128614,55,2,14,0,88,0,0,0
OG5_128615,0,0,1,0,0,0,0,0
OG5_128964,203,16,174,3,155,47,11,6
OG5_128617,0,0,1,0,1,0,0,0
OG5_128618,448,8,89,0,62,71,8,1
OG5_128619,4,0,4,0,2,0,0,0
OG5_142739,0,0,1,0,0,0,0,0
OG5_128969,504,13,123,0,133,0,20,3
OG5_129560,0,0,9,0,4,0,0,0
OG5_129563,0,2,1,0,3,0,0,0
OG5_129562,0,0,2,0,2,0,0,0
OG5_129565,2,9,21,0,26,0,5,0
OG5_129567,406,4,56,2,26,53,6,3
OG5_129566,302,7,114,3,93,19,4,1
OG5_129569,411,13,81,0,63,0,22,5
OG5_129568,528,11,112,1,75,55,21,2
OG5_159796,47,1,22,0,15,2,1,1
OG5_140641,0,0,1,0,0,0,2,0
OG5_144083,0,0,1,0,0,0,0,0
OG5_144082,0,1,1,0,0,0,2,0
OG5_131497,0,0,0,0,1,0,0,0
OG5_179305,38,0,14,0,15,1,0,1
OG5_155870,38,0,2,0,7,1,0,0
OG5_155300,53,3,43,0,11,3,0,1
OG5_168861,12,0,0,0,1,2,0,0
OG5_168866,20,0,5,0,1,2,0,0
OG5_139209,0,0,0,0,0,0,2,0
OG5_132161,0,0,1,0,1,0,0,0
OG5_132160,46,0,5,0,8,10,0,0
OG5_132163,188,12,80,2,44,3,1,1
OG5_132162,0,0,1,0,0,0,1,0
OG5_132166,0,0,0,0,0,0,1,0
OG5_129705,1,1,5,0,7,0,0,0
OG5_129704,65,11,79,0,38,0,3,2
OG5_129707,0,0,2,0,1,0,0,0
OG5_129706,2,0,7,0,0,0,1,0
OG5_129701,0,0,3,0,1,4,1,0
OG5_129702,0,0,0,0,0,0,1,0
OG5_129262,1,0,6,0,4,0,0,0
OG5_126919,2,6,9,1,9,0,1,2
OG5_126918,0,0,2,0,1,88,1,0
OG5_158934,159,0,14,0,3,31,1,1
OG5_126915,156,4,63,0,37,0,17,1
OG5_126914,11,0,1,0,0,1,0,0
OG5_126916,491,10,90,3,63,0,22,1
OG5_126911,333,8,92,0,52,74,1,1
OG5_126910,31,8,65,0,30,0,5,1
OG5_126913,482,6,111,0,57,90,12,3
OG5_126912,0,0,12,0,6,90,1,0
OG5_131667,3,4,22,1,42,0,1,0
OG5_131666,282,12,80,0,33,5,12,5
OG5_171023,73,1,48,0,31,0,1,0
OG5_134835,0,0,4,0,7,0,1,1
OG5_171024,7,0,6,0,5,1,0,0
OG5_171027,23,2,15,0,5,2,0,0
OG5_146491,0,2,4,0,4,0,0,0
OG5_134838,0,1,4,0,0,0,0,0
OG5_157650,0,0,1,0,0,0,0,0
OG5_146498,55,0,21,0,10,0,0,0
OG5_142863,0,0,1,0,0,0,0,0
OG5_142862,0,0,1,0,0,0,1,0
OG5_153304,92,1,4,0,2,0,17,0
OG5_142860,0,0,5,0,0,0,0,0
OG5_142866,0,3,12,0,7,0,2,0
OG5_141375,0,0,0,0,0,0,1,0
OG5_149698,0,0,1,0,4,2,2,0
OG5_146728,0,0,0,0,2,0,0,0
OG5_141119,0,0,0,0,1,0,0,0
OG5_146720,4,3,22,1,25,0,3,0
OG5_141113,1,0,2,0,6,0,1,0
OG5_146722,2,0,6,0,4,0,1,0
OG5_141116,73,4,37,0,29,3,2,0
OG5_141117,25,6,20,0,16,0,2,0
OG5_141114,1,1,5,0,3,0,0,0
OG5_139205,0,1,0,0,2,0,0,0
OG5_157229,45,1,30,0,7,25,2,3
OG5_157227,23,0,14,0,6,5,0,0
OG5_130134,0,0,1,0,0,0,0,0
OG5_130135,26,0,9,0,113,5,0,0
OG5_130136,133,13,96,0,37,36,0,3
OG5_130137,17,3,11,0,11,0,0,1
OG5_130130,377,10,94,1,81,40,5,1
OG5_130131,516,19,147,2,141,0,22,5
OG5_130132,0,1,1,0,0,0,0,0
OG5_130133,236,5,70,0,47,41,0,0
OG5_130139,61,1,12,0,19,0,0,0
OG5_176317,27,2,7,0,4,0,0,0
OG5_134654,2,4,27,0,66,2,1,0
OG5_134650,442,8,74,1,53,3,2,2
OG5_134658,1,3,24,1,11,0,4,0
OG5_137878,114,5,34,0,2,17,21,0
OG5_137879,84,3,48,0,26,2,0,1
OG5_137871,39,8,54,0,34,0,9,1
OG5_137872,161,4,42,0,25,0,1,0
OG5_137873,210,5,93,2,70,0,3,2
OG5_137874,217,3,61,1,31,0,1,0
OG5_137877,241,1,15,0,13,0,0,0
OG5_131476,30,2,30,0,11,0,0,1
OG5_133027,12,2,2,0,5,0,9,0
OG5_133026,50,3,36,0,35,0,4,1
OG5_133022,2,2,11,1,10,0,0,1
OG5_133021,5,1,17,0,18,0,3,0
OG5_126852,0,0,6,0,1,91,0,1
OG5_133029,48,2,26,1,24,1,0,0
OG5_169510,0,3,8,0,27,0,2,0
OG5_132879,2,4,6,0,4,0,0,0
OG5_136479,206,4,60,0,27,0,0,0
OG5_136478,101,5,36,0,26,1,0,0
OG5_145163,13,1,12,0,9,0,0,0
OG5_136473,50,1,20,0,15,27,2,0
OG5_128074,0,0,0,0,0,0,1,0
OG5_136471,32,4,33,0,11,0,21,2
OG5_136477,167,20,70,1,140,2,6,0
OG5_155407,94,6,50,0,10,1,26,1
OG5_136474,155,4,39,0,18,19,0,1
OG5_126759,337,17,119,1,98,54,24,6
OG5_126758,383,10,103,2,179,17,4,3
OG5_146932,3,0,2,0,4,0,0,0
OG5_126753,87,17,73,1,43,1,26,7
OG5_126752,516,11,136,0,145,91,15,4
OG5_126750,474,6,149,2,127,67,8,5
OG5_126757,256,22,224,7,147,31,23,12
OG5_126756,296,17,112,0,175,35,17,7
OG5_126755,515,7,111,0,83,78,24,0
OG5_126754,31,11,77,0,88,4,6,1
OG5_155093,1,0,5,0,0,0,0,0
OG5_137308,1,1,7,2,3,3,0,1
OG5_147048,0,0,0,0,0,0,3,0
OG5_155095,48,5,61,0,41,1,4,3
OG5_147044,0,0,0,0,0,0,1,0
OG5_137301,0,1,4,0,22,0,1,2
OG5_137307,93,1,35,0,13,23,0,1
OG5_137304,2,2,8,0,8,1,0,0
OG5_137305,4,0,2,0,1,0,0,0
OG5_162840,61,11,22,0,42,3,2,1
OG5_136659,111,5,94,1,60,0,3,2
OG5_136658,118,2,83,0,20,0,0,1
OG5_136657,36,2,37,0,11,0,4,0
OG5_136656,0,0,5,0,7,0,1,0
OG5_136654,0,0,2,0,0,0,0,0
OG5_136653,0,0,1,0,0,0,1,0
OG5_136651,0,0,0,0,0,0,1,0
OG5_133681,0,2,1,0,8,0,0,1
OG5_133687,0,0,15,0,3,0,1,1
OG5_133686,0,0,1,0,0,0,0,0
OG5_163479,53,1,32,0,22,0,0,0
OG5_133688,0,0,0,0,2,0,0,0
OG5_172112,15,2,15,0,10,0,1,0
OG5_134444,0,0,0,1,0,0,0,0
OG5_168762,15,0,10,0,5,0,0,0
OG5_132375,0,0,0,0,0,0,1,0
OG5_180324,0,6,76,1,60,9,4,2
OG5_132377,13,0,4,0,11,6,0,0
OG5_132372,1,1,5,0,4,0,0,1
OG5_138933,0,0,0,0,1,0,0,0
OG5_132379,0,6,5,0,0,0,2,0
OG5_128250,0,0,3,0,2,0,1,0
OG5_133977,12,1,11,1,39,0,4,0
OG5_133970,2,0,1,0,1,0,0,0
OG5_133973,28,0,8,1,5,5,2,1
OG5_128254,0,0,15,0,5,0,0,1
OG5_133979,0,0,4,0,0,0,0,0
OG5_126858,385,5,76,0,40,67,4,3
OG5_127088,0,0,0,0,1,0,0,0
OG5_127089,0,0,6,0,0,92,0,1
OG5_128256,0,1,0,0,0,0,0,0
OG5_132088,0,1,1,0,0,0,0,0
OG5_132089,0,0,1,0,0,0,0,0
OG5_127080,0,0,10,0,2,94,0,0
OG5_132087,4,5,30,0,14,0,0,0
OG5_127082,506,12,195,4,105,90,12,7
OG5_128525,0,0,0,0,0,0,1,0
OG5_127084,0,0,2,0,1,0,0,0
OG5_132083,16,3,20,0,14,0,1,1
OG5_132080,401,8,100,1,63,0,16,2
OG5_127087,39,3,17,0,16,1,0,0
OG5_154320,5,1,0,0,0,0,2,0
OG5_140090,0,1,2,0,5,0,0,0
OG5_140094,46,1,19,0,9,0,1,0
OG5_159541,6,1,9,0,11,0,0,0
OG5_140097,6,13,32,0,18,0,5,3
OG5_166184,4,0,3,0,0,0,0,0
OG5_141277,0,0,2,0,0,0,5,0
OG5_141276,20,4,12,0,6,19,0,0
OG5_141275,27,2,43,0,11,1,8,1
OG5_141274,31,0,12,0,5,1,0,0
OG5_141273,2,1,1,0,0,0,0,0
OG5_141272,4,0,1,0,1,0,0,0
OG5_141271,66,0,32,0,19,0,0,0
OG5_127423,488,8,110,0,90,0,3,0
OG5_157797,69,2,20,0,14,0,0,0
OG5_157796,67,1,23,0,5,0,0,0
OG5_141279,0,0,4,0,4,0,3,1
OG5_157794,15,1,7,0,6,0,1,0
OG5_132887,0,0,1,0,1,0,0,0
OG5_132884,40,1,23,0,5,5,0,0
OG5_132885,193,9,80,0,34,25,17,2
OG5_127668,475,9,100,1,76,79,4,2
OG5_132883,0,0,2,0,1,0,2,0
OG5_132880,54,1,30,0,12,46,1,1
OG5_132881,0,0,4,0,5,0,0,0
OG5_127664,51,1,17,0,7,1,0,0
OG5_127665,2,0,3,0,2,0,0,0
OG5_127666,0,1,3,0,0,3,0,0
OG5_127667,24,5,54,2,53,0,3,0
OG5_127661,0,6,3,0,8,0,0,1
OG5_127662,508,11,136,2,158,2,24,2
OG5_127663,514,11,116,0,110,0,12,2
OG5_129950,0,0,0,0,0,0,4,0
OG5_130957,0,0,0,0,1,0,0,0
OG5_130954,11,2,22,1,5,1,30,0
OG5_129953,79,36,186,4,164,2,24,11
OG5_129954,40,4,31,0,21,54,6,1
OG5_129955,54,2,33,0,29,0,0,0
OG5_159898,20,0,5,0,3,0,0,0
OG5_159899,64,3,55,0,98,1,5,1
OG5_159896,10,1,9,0,20,0,4,0
OG5_135350,0,2,5,0,1,2,5,0
OG5_135357,0,0,0,0,1,0,0,0
OG5_130958,10,10,13,0,8,0,5,1
OG5_176944,6,1,10,0,9,1,0,0
OG5_127358,0,1,3,0,0,0,0,1
OG5_135680,0,1,1,1,1,0,0,0
OG5_135688,0,1,0,0,0,0,0,0
OG5_137062,0,1,2,0,0,0,0,0
OG5_128392,0,0,1,0,8,0,1,0
OG5_139469,0,0,1,0,0,0,1,0
OG5_128394,244,11,168,2,140,30,31,3
OG5_128396,176,2,44,0,38,24,5,2
OG5_128398,2,2,4,0,1,2,0,0
OG5_139463,2,1,4,0,0,0,0,0
OG5_146854,0,0,2,0,0,0,1,0
OG5_130839,297,12,145,1,88,46,5,2
OG5_130835,1,1,20,0,15,0,4,0
OG5_130834,7,0,4,0,1,0,0,0
OG5_130837,24,4,7,0,7,0,1,0
OG5_130831,0,0,1,0,0,0,0,0
OG5_130830,168,11,72,0,39,0,2,2
OG5_138917,0,0,3,0,0,0,0,0
OG5_135531,0,5,17,1,6,0,1,2
OG5_158943,2,0,2,0,0,0,2,1
OG5_158940,190,5,92,0,42,0,1,1
OG5_171395,16,0,8,0,10,0,0,0
OG5_158944,28,0,9,0,4,0,0,0
OG5_139681,0,0,1,0,0,0,0,0
OG5_130984,3,0,19,0,6,0,0,0
OG5_146852,0,0,0,0,1,0,0,0
OG5_147606,0,0,1,0,0,0,0,1
OG5_129782,0,0,1,0,3,0,0,1
OG5_147609,0,1,1,0,5,0,1,1
OG5_135124,14,3,21,0,7,1,0,2
OG5_153231,0,0,0,0,0,0,2,0
OG5_165980,41,2,29,0,22,0,0,0
OG5_153234,0,0,0,0,0,0,2,0
OG5_137246,0,2,19,0,11,0,2,1
OG5_153239,213,6,35,0,21,9,17,1
OG5_137245,15,2,13,0,0,0,4,0
OG5_137532,10,12,46,0,3,0,25,1
OG5_131016,0,0,0,0,0,0,1,0
OG5_152548,35,2,25,1,35,4,4,1
OG5_137683,0,0,1,0,0,0,0,0
OG5_132602,0,0,2,0,0,0,0,0
OG5_169725,7,0,17,0,32,0,1,1
OG5_129046,425,9,107,0,66,52,3,4
OG5_138333,121,5,42,2,8,25,0,0
OG5_129044,27,0,8,0,4,15,0,0
OG5_129045,9,0,6,0,11,0,0,1
OG5_129042,79,18,68,0,26,22,8,2
OG5_178467,24,0,21,0,6,0,0,0
OG5_129040,57,5,36,0,28,0,2,0
OG5_138335,0,0,1,0,1,0,0,0
OG5_138338,17,1,14,0,2,0,1,0
OG5_138339,0,0,3,0,1,0,0,0
OG5_138481,2,2,3,0,68,0,0,2
OG5_129048,23,1,11,0,11,0,11,1
OG5_129049,81,8,101,0,51,0,11,0
OG5_165188,0,2,10,0,1,0,0,1
OG5_165182,76,2,31,0,16,2,0,0
OG5_165186,12,0,2,0,0,0,0,0
OG5_134482,12,27,88,0,111,0,14,6
OG5_134483,14,4,34,0,13,0,0,0
OG5_131308,0,0,1,0,0,0,0,0
OG5_131309,0,2,4,0,2,0,0,0
OG5_134488,0,0,0,0,1,0,0,0
OG5_137812,0,0,3,0,0,0,2,0
OG5_131306,0,0,1,0,0,0,0,0
OG5_130303,1,2,13,0,11,0,5,0
OG5_137461,170,2,35,0,30,5,1,0
OG5_130300,8,32,122,1,119,0,12,10
OG5_137467,0,1,0,0,0,0,0,0
OG5_137466,131,5,35,0,15,0,4,1
OG5_130305,374,11,87,2,58,0,2,2
OG5_130304,0,0,4,0,79,0,0,0
OG5_137469,34,5,11,0,98,0,4,0
OG5_138156,54,2,14,0,6,0,1,0
OG5_138344,0,0,2,0,0,0,0,0
OG5_153495,62,4,28,1,22,0,1,1
OG5_153496,27,4,39,0,19,2,0,1
OG5_153497,29,0,5,0,1,0,0,0
OG5_153490,113,4,35,0,17,0,0,0
OG5_153491,66,1,27,0,11,0,0,0
OG5_153492,2,0,0,0,2,0,0,0
OG5_139124,0,5,33,1,22,0,1,0
OG5_128355,0,0,0,0,0,0,1,0
OG5_143360,1,0,1,0,0,0,0,0
OG5_131007,0,0,1,0,0,0,0,0
OG5_173185,73,1,10,0,10,2,1,0
OG5_141912,19,0,5,0,5,0,0,0
OG5_146230,4,1,7,0,1,1,8,0
OG5_141916,0,2,3,0,6,0,0,0
OG5_146237,0,0,1,0,20,0,0,0
OG5_146238,255,1,20,0,19,31,0,0
OG5_127879,168,2,50,2,30,0,3,2
OG5_127878,0,1,0,0,1,0,2,0
