,ba,ee,sr,op,am,za,pl,ex
OG5_126772,132,131,1080,124,404,9,147,72
OG5_126775,560,94,676,143,530,80,122,56
OG5_126774,1,144,639,117,495,0,138,61
OG5_126777,623,42,291,86,166,111,109,28
OG5_126776,566,125,1025,118,381,120,153,82
OG5_126779,283,57,611,145,376,0,80,46
OG5_126778,477,32,183,93,249,40,45,8
OG5_171684,44,0,1,0,0,2,1,0
OG5_147026,31,0,0,1,0,47,0,0
OG5_147027,0,0,1,9,3,0,1,0
OG5_127118,0,74,657,110,599,0,113,53
OG5_136189,0,39,173,28,13,0,18,15
OG5_127119,0,16,35,77,372,0,25,16
OG5_136073,12,31,60,6,4,0,6,1
OG5_156946,1,4,47,0,26,2,0,5
OG5_136183,3,38,236,31,20,1,17,14
OG5_136182,0,20,1933,4,32,0,6,2
OG5_136181,0,26,858,2,11,0,14,34
OG5_136180,0,3,5,20,6,0,10,1
OG5_136187,0,4,11,18,47,0,46,1
OG5_136186,0,28,128,18,44,0,31,2
OG5_150553,0,1,21,3,40,0,0,1
OG5_128133,0,40,327,96,37,0,54,24
OG5_172133,0,0,2,0,0,6,0,3
OG5_155117,1,53,577,30,581,14,25,58
OG5_132306,86,13,79,34,8,0,60,3
OG5_155113,1,0,3,3,1,0,0,0
OG5_127113,239,40,284,92,172,2,47,30
OG5_144666,0,0,0,6,2,0,1,0
OG5_150388,0,12,39,0,0,0,66,2
OG5_132600,0,33,84,34,165,0,37,2
OG5_132353,0,6,13,82,27,0,3,0
OG5_132602,0,29,303,37,15,0,14,23
OG5_132351,413,7,10,3,45,62,22,5
OG5_132356,0,36,245,47,42,0,5,7
OG5_138917,0,1,15,18,2,0,3,2
OG5_132354,0,26,111,6,43,0,69,16
OG5_132607,0,37,183,21,306,0,21,8
OG5_132609,0,0,23,0,48,0,169,0
OG5_132358,8,18,37,53,112,0,15,11
OG5_128138,0,52,306,90,197,0,65,28
OG5_129338,0,40,193,84,122,0,65,11
OG5_144665,96,0,1,1,1,4,0,0
OG5_137788,0,10,108,7,15,0,686,0
OG5_133913,0,0,10,29,1,0,0,0
OG5_133917,0,0,11,29,56,0,4,0
OG5_133915,31,1,6,2,3,1,51,19
OG5_169823,17,8,120,5,62,0,4,4
OG5_129849,7,95,513,68,275,0,53,43
OG5_164056,52,0,0,0,0,0,1,0
OG5_143683,0,0,6,17,4,0,0,1
OG5_156795,0,0,44,0,0,0,0,0
OG5_136029,0,69,865,20,132,0,67,23
OG5_158960,9,2,2,0,5,0,0,8
OG5_158963,12,14,16,0,1,0,29,1
OG5_158962,138,0,0,0,0,0,1,0
OG5_141259,1,7,9,1,33,0,3,18
OG5_158967,93,23,103,0,16,0,39,1
OG5_141708,72,30,94,0,3,1,22,2
OG5_141255,57,16,115,4,87,0,15,5
OG5_141706,164,0,1,1,0,0,1,0
OG5_141705,61,35,112,1,1,0,29,1
OG5_141703,0,37,110,1,60,0,2,14
OG5_141702,39,0,3,1,3,0,0,1
OG5_141253,0,0,1,0,1,0,16,0
OG5_158450,1,7,16,3,81,0,0,7
OG5_127648,0,63,370,90,260,0,79,34
OG5_127649,8,23,163,69,137,0,38,27
OG5_136025,0,26,57,24,82,0,27,5
OG5_127642,0,52,150,86,152,0,53,8
OG5_127643,0,57,258,91,276,0,61,26
OG5_127640,0,72,571,107,295,0,61,43
OG5_127641,22,50,445,79,292,0,77,32
OG5_127646,0,132,1272,108,180,0,64,67
OG5_127647,549,64,281,67,126,0,73,10
OG5_127644,96,32,185,85,128,11,28,8
OG5_127645,104,68,482,76,333,41,44,33
OG5_130938,0,40,167,69,188,0,9,11
OG5_130939,1,42,465,35,4,0,12,1
OG5_129978,453,41,330,26,52,62,23,13
OG5_129979,403,32,116,35,13,30,56,3
OG5_129976,230,34,122,49,29,134,52,1
OG5_129977,382,25,125,1,22,18,52,0
OG5_129974,1087,0,3,2,0,62,1,0
OG5_129975,861,0,0,1,1,151,3,0
OG5_130930,0,1,30,41,43,0,16,4
OG5_129973,0,40,84,71,159,0,69,3
OG5_129970,0,73,799,48,63,0,24,68
OG5_129971,282,35,313,2,272,0,48,34
OG5_135371,372,0,0,3,0,40,0,0
OG5_159307,64,7,12,8,0,0,0,0
OG5_135373,701,0,0,2,0,0,1,0
OG5_135372,649,0,6,3,11,60,2,0
OG5_135375,274,12,128,4,34,12,11,1
OG5_135374,126,14,14,0,5,11,6,1
OG5_176966,23,0,0,1,0,1,0,0
OG5_135379,90,31,242,7,86,0,6,17
OG5_139209,0,25,157,19,193,0,21,19
OG5_130330,660,4,47,1,31,93,9,1
OG5_139208,0,7,358,29,18,0,19,1
OG5_134354,0,53,363,38,182,0,17,4
OG5_134355,0,19,3,29,3,0,4,5
OG5_139408,0,64,150,16,63,0,9,7
OG5_134350,20,146,154,33,95,2,15,3
OG5_128379,0,52,169,80,137,0,62,7
OG5_131181,0,39,183,37,11,0,23,30
OG5_128377,19,45,240,77,117,0,71,12
OG5_137456,159,0,3,1,0,2,24,0
OG5_128375,0,87,547,103,318,0,88,18
OG5_128374,0,51,437,85,232,0,79,29
OG5_128373,0,32,269,84,103,0,48,35
OG5_139406,0,3,26,6,2,0,24,0
OG5_139405,145,2,61,20,59,5,1,1
OG5_139404,128,14,54,6,147,2,11,17
OG5_160493,145,0,0,0,0,0,1,0
OG5_130859,0,23,117,63,98,0,28,12
OG5_160497,82,0,0,1,0,0,0,0
OG5_132043,83,4,83,33,31,0,11,13
OG5_130853,0,25,99,65,86,0,22,1
OG5_130852,0,8,95,34,43,0,47,2
OG5_160498,89,16,85,0,8,0,8,0
OG5_130335,152,22,30,43,183,18,36,7
OG5_130857,1355,3,25,4,14,139,2,1
OG5_130856,49,42,214,49,286,0,30,35
OG5_130855,267,24,13,7,8,76,15,0
OG5_130854,0,32,149,53,117,0,53,12
OG5_141897,0,14,114,18,390,0,3,8
OG5_139206,0,0,174,6,12,0,2,0
OG5_132046,0,32,125,31,56,0,44,22
OG5_145371,0,1,4,2,2,0,0,14
OG5_145377,40,0,30,15,18,0,2,6
OG5_160560,10,0,1,0,0,0,0,6
OG5_134630,0,1,7,27,18,0,17,0
OG5_135511,0,2,309,0,1,0,3,0
OG5_135510,0,12,138,25,4,0,12,4
OG5_135512,0,0,0,0,0,0,1,8
OG5_144362,0,22,27,13,12,0,6,2
OG5_144361,0,26,95,3,11,0,25,5
OG5_144364,0,3,5,0,5,0,2,16
OG5_134636,0,0,4,33,5,0,1,0
OG5_129666,138,10,87,45,9,6,25,2
OG5_131553,391,0,0,0,3,107,1,0
OG5_134635,0,9,127,1,17,0,53,5
OG5_139669,0,12,56,20,1,0,0,2
OG5_129667,0,43,258,54,201,0,49,16
OG5_139664,11,324,488,40,419,0,157,12
OG5_139663,15,105,427,48,527,1,20,14
OG5_139539,0,25,40,2,1,0,41,2
OG5_147623,3,122,723,5,61,0,44,29
OG5_129398,0,45,217,73,277,0,49,15
OG5_129399,401,32,308,42,211,18,30,21
OG5_130589,0,43,62,40,3,0,17,0
OG5_130588,0,47,225,42,207,0,54,20
OG5_129392,0,12,45,69,30,0,27,5
OG5_130584,866,11,73,40,46,123,3,7
OG5_129390,148,9,91,40,160,62,18,17
OG5_130586,5,44,57,33,63,0,59,4
OG5_130581,0,42,218,36,9,0,28,26
OG5_129397,0,30,202,82,90,0,64,6
OG5_129394,18,39,235,43,26,0,25,28
OG5_129395,0,90,996,55,286,0,50,44
OG5_129192,2,62,555,75,417,0,67,15
OG5_178923,32,0,10,1,4,1,0,0
OG5_150094,7,0,0,6,0,3,0,0
OG5_150096,54,4,21,0,3,1,23,0
OG5_150091,9,3,11,11,362,0,0,3
OG5_150090,0,0,8,3,0,0,1,0
OG5_149285,7,1,0,6,0,0,0,0
OG5_161654,0,0,0,0,3,19,0,0
OG5_150098,0,0,8,2,11,0,65,1
OG5_139129,0,2,18,2,2,0,4,12
OG5_154938,1,1,2,7,4,0,0,0
OG5_139537,0,1,17,1,5,0,127,0
OG5_154937,367,3,14,0,42,36,2,0
OG5_139536,0,0,12,9,15,0,214,3
OG5_182054,3,0,0,1,0,0,0,0
OG5_129028,586,55,178,22,23,1,56,3
OG5_129029,0,42,269,82,108,0,28,22
OG5_129024,0,32,8,53,5,0,152,0
OG5_129025,0,58,523,82,351,3,83,28
OG5_129026,0,49,315,56,159,0,62,20
OG5_129027,0,26,210,71,58,0,51,7
OG5_129020,0,25,147,71,122,0,46,5
OG5_129021,0,50,273,66,65,0,38,10
OG5_129022,0,49,207,67,191,0,50,22
OG5_129023,0,52,183,48,177,0,52,19
OG5_131320,35,30,79,53,113,0,47,6
OG5_150549,0,7,513,2,76,0,4,23
OG5_134278,0,18,43,22,12,0,39,0
OG5_150541,0,0,1,0,0,0,0,0
OG5_131459,0,21,239,40,43,0,7,2
OG5_131328,0,27,71,47,48,0,20,3
OG5_131329,237,44,160,17,17,2,107,2
OG5_129433,0,14,33,1,21,0,339,1
OG5_131450,0,7,10,62,116,0,11,5
OG5_131452,207,6,85,4,55,90,10,16
OG5_131453,5,51,676,44,49,0,12,2
OG5_131326,31,63,276,37,46,0,19,8
OG5_131455,0,11,18,36,4,0,0,0
OG5_131324,0,20,9,48,98,0,33,5
OG5_131457,5,20,50,43,27,0,48,0
OG5_130329,10,41,233,72,190,0,46,23
OG5_130328,0,86,734,37,186,0,48,45
OG5_137118,0,20,87,34,3,0,8,4
OG5_130321,386,32,160,4,84,240,75,2
OG5_137440,0,2,47,19,53,0,6,1
OG5_137115,0,12,91,25,180,0,8,26
OG5_130322,56,45,228,37,124,40,39,26
OG5_137113,0,9,1,22,60,0,0,2
OG5_130324,163,18,170,54,23,7,7,0
OG5_130327,1,0,8,44,2,0,0,1
OG5_130326,13,129,137,32,24,1,14,18
OG5_138138,21,4,7,0,4,5,0,9
OG5_161625,4,0,0,0,0,0,1,0
OG5_138133,39,38,258,12,591,0,5,25
OG5_136860,17,39,308,26,189,0,58,12
OG5_136865,295,18,197,10,55,12,62,13
OG5_136866,182,30,177,2,189,0,13,5
OG5_137857,0,3,33,2,7,0,8,12
OG5_136868,0,1,3,17,7,0,11,0
OG5_136869,0,1,28,21,0,0,5,0
OG5_137586,0,2,58,8,7,0,1,13
OG5_134847,0,14,59,3,0,0,113,1
OG5_137587,0,17,106,78,33,0,2,0
OG5_137052,12,0,10,1,0,3,226,0
OG5_133871,0,3,42,93,9,1,11,0
OG5_134848,0,0,4,0,0,0,88,0
OG5_146590,3,8,117,5,32,0,14,12
OG5_171107,8,0,1,0,8,0,0,1
OG5_146595,0,1,24,8,0,0,1,2
OG5_156261,448,60,335,17,119,0,6,81
OG5_134849,137,81,205,0,3,0,96,0
OG5_171108,21,2,10,0,3,0,0,0
OG5_163918,17,5,75,3,12,2,5,4
OG5_136248,0,40,54,26,3,0,25,9
OG5_143026,1,7,39,10,45,0,0,2
OG5_143028,94,22,119,29,177,2,25,7
OG5_163913,82,0,1,3,2,37,2,3
OG5_136247,0,18,46,5,598,0,3,5
OG5_136240,158,0,0,1,0,0,1,0
OG5_136241,185,0,0,1,0,20,2,0
OG5_149886,1,0,0,9,0,0,0,0
OG5_139986,0,0,10,0,6,0,101,1
OG5_139987,0,13,218,78,39,0,4,11
OG5_139985,0,14,64,4,29,0,23,15
OG5_139980,0,2,47,1,0,0,1,0
OG5_139988,0,0,19,18,22,0,2,4
OG5_139989,0,5,12,18,4,0,5,2
OG5_127347,448,86,430,80,174,27,114,9
OG5_127346,0,221,254,105,375,0,95,35
OG5_127433,31,56,415,95,270,110,77,42
OG5_127344,162,144,308,153,153,9,33,3
OG5_127435,401,43,183,12,32,89,67,28
OG5_127434,3,80,389,86,244,2,66,39
OG5_127341,1,13,676,56,120,0,27,57
OG5_127436,393,22,118,80,204,1,26,27
OG5_127439,0,66,1082,141,103,0,33,98
OG5_127438,1,71,587,112,366,0,97,38
OG5_138542,71,14,32,2,3,1,29,11
OG5_127349,10,39,310,85,176,109,70,31
OG5_127348,558,61,261,85,161,36,107,21
OG5_175825,8,0,0,1,0,0,0,0
OG5_156659,0,0,1,0,0,0,20,0
OG5_156658,0,4,4,0,7,0,38,0
OG5_156654,0,15,10,2,7,0,39,0
OG5_156656,0,30,110,0,6,0,30,3
OG5_159170,42,2,7,0,2,0,1,0
OG5_133219,0,2,48,9,5,0,52,11
OG5_149919,143,8,41,5,17,11,1,5
OG5_132471,0,0,2,0,0,0,69,0
OG5_133748,14,0,3,28,5,78,1,0
OG5_133749,738,0,2,1,0,82,0,1
OG5_133747,108,0,1,0,3,109,0,5
OG5_133744,329,0,1,0,5,0,0,0
OG5_133213,0,5,42,72,25,1,1,1
OG5_133214,15,50,258,28,225,0,49,21
OG5_149917,0,19,90,2,29,0,34,4
OG5_133217,0,1,5,29,1,0,81,0
OG5_144487,100,1,0,1,1,16,0,0
OG5_133471,0,29,155,43,84,0,9,0
OG5_142480,0,1,7,0,2,0,0,13
OG5_142483,7,1,16,7,19,60,4,1
OG5_142482,0,21,39,4,28,0,35,1
OG5_142485,0,16,100,0,26,0,9,18
OG5_142486,131,1,3,4,2,4,4,0
OG5_144886,0,0,2,1,0,0,0,12
OG5_140393,35,0,23,7,5,15,33,1
OG5_135741,495,0,0,1,0,51,0,0
OG5_140391,0,5,152,6,48,0,5,15
OG5_140390,0,3,12,2,277,0,33,1
OG5_135744,408,1,0,0,0,86,1,3
OG5_140424,1,27,2,17,2,1,1,1
OG5_135746,108,46,147,24,17,27,35,5
OG5_135747,496,0,8,1,0,61,0,0
OG5_140428,0,13,70,24,85,0,44,4
OG5_140399,0,17,30,21,62,0,2,4
OG5_133477,1,17,120,34,39,0,20,5
OG5_150305,0,1,13,0,5,0,117,0
OG5_144550,0,0,0,5,1,0,1,0
OG5_150307,7,12,21,0,1,0,35,0
OG5_144552,106,6,65,12,125,5,1,2
OG5_138547,186,0,12,0,6,11,2,8
OG5_150300,0,0,5,0,1,0,56,0
OG5_144557,55,0,9,29,0,0,1,0
OG5_150302,17,18,53,0,2,0,51,0
OG5_144559,0,17,241,7,62,0,10,22
OG5_144623,0,0,18,0,4,0,165,0
OG5_150309,0,23,35,0,0,0,18,0
OG5_128610,1,70,858,147,254,1,60,79
OG5_128611,0,54,514,93,556,0,95,19
OG5_128612,464,25,112,34,34,110,31,1
OG5_128613,0,38,267,84,218,0,62,12
OG5_128614,69,3,8,103,79,0,0,4
OG5_128615,0,42,151,91,187,0,57,10
OG5_128964,433,15,196,49,171,91,36,8
OG5_128617,0,35,289,70,110,0,71,9
OG5_128618,647,44,210,53,144,87,55,4
OG5_128619,5,36,165,51,26,0,119,12
OG5_128968,0,46,342,45,42,0,24,45
OG5_128969,542,31,265,23,65,0,66,18
OG5_129561,0,15,36,75,33,0,53,3
OG5_129560,0,69,474,65,280,0,70,35
OG5_129563,0,60,847,68,198,0,81,43
OG5_129562,0,20,72,64,87,0,30,6
OG5_129565,2,158,531,81,499,0,97,20
OG5_129564,0,20,77,76,71,0,43,8
OG5_129567,747,0,1,0,1,74,1,0
OG5_129566,779,22,191,4,50,29,10,19
OG5_129569,454,18,143,36,101,0,39,3
OG5_129568,886,17,74,3,5,59,44,0
OG5_159792,0,1,43,4,17,0,22,1
OG5_145896,0,0,2,0,0,0,1,12
OG5_159796,62,2,8,0,9,2,4,10
OG5_140641,0,331,711,42,260,0,145,16
OG5_140640,0,1,7,18,0,0,0,0
OG5_144083,0,3,18,5,9,0,39,1
OG5_144082,0,10,96,10,21,0,28,2
OG5_144087,0,1,37,9,0,0,4,0
OG5_179305,44,0,0,3,0,1,0,0
OG5_155870,42,0,0,3,0,1,0,0
OG5_155300,65,15,37,2,14,3,12,0
OG5_168861,17,0,0,0,2,2,0,0
OG5_168866,23,8,23,0,0,4,1,0
OG5_132168,0,0,375,0,2,0,0,0
OG5_132161,0,35,214,39,168,0,8,10
OG5_132160,56,0,7,32,1,12,2,0
OG5_132163,319,21,90,23,97,3,3,4
OG5_132162,0,22,44,33,284,0,101,3
OG5_132164,1,27,88,29,58,0,37,3
OG5_132166,0,64,140,94,55,0,9,2
OG5_129705,1,52,300,39,46,0,30,35
OG5_129704,80,59,259,34,82,0,20,23
OG5_129707,0,38,769,34,516,0,12,37
OG5_129706,3,51,194,42,286,0,53,43
OG5_129701,0,38,223,54,181,4,56,14
OG5_129703,0,44,443,62,153,0,5,34
OG5_129702,0,26,56,66,96,0,46,6
OG5_129262,1,1,60,5,33,0,0,0
OG5_126919,2,17,173,61,13,0,2,5
OG5_126918,0,70,878,106,513,103,111,53
OG5_177042,22,0,0,1,0,0,0,0
OG5_126915,282,75,345,82,194,0,87,30
OG5_126914,13,81,486,94,257,2,68,37
OG5_126916,538,125,739,152,267,0,91,51
OG5_126911,446,13,240,61,39,96,39,14
OG5_126910,41,115,1076,115,384,0,95,34
OG5_126913,605,57,357,88,178,118,68,34
OG5_126912,0,83,512,103,240,144,71,40
OG5_131667,3,57,163,53,108,0,39,5
OG5_131666,510,60,357,41,135,6,60,11
OG5_171023,197,0,18,0,9,0,1,0
OG5_146495,0,0,1,1,0,0,0,12
OG5_134835,0,10,39,0,33,0,381,6
OG5_171024,11,0,2,1,0,1,0,0
OG5_171027,27,25,65,0,13,2,3,1
OG5_146491,0,21,80,14,45,0,8,7
OG5_134838,0,17,244,14,47,0,10,21
OG5_157650,0,4,46,2,10,1,0,0
OG5_146419,0,3,20,1,5,0,135,0
OG5_146498,73,0,0,1,0,0,0,0
OG5_142869,0,8,39,11,74,0,3,13
OG5_142863,0,3,66,2,19,0,7,12
OG5_142862,0,6,22,0,1,0,11,14
OG5_153304,93,1,3,0,0,0,18,0
OG5_142860,0,4,138,16,2,0,3,0
OG5_142866,0,41,160,3,124,0,11,19
OG5_129379,21,21,81,65,35,0,70,17
OG5_146412,0,20,37,2,40,0,73,4
OG5_141373,0,27,134,17,120,0,16,1
OG5_146728,0,10,20,0,41,0,1,13
OG5_141119,0,3,21,34,20,0,1,15
OG5_146720,4,40,153,28,138,0,26,2
OG5_141113,1,2,41,18,8,0,3,0
OG5_146722,3,4,16,32,6,0,2,1
OG5_141116,98,1,1,9,10,3,0,0
OG5_141117,33,7,8,1,0,0,30,0
OG5_141114,1,1,47,24,35,0,31,1
OG5_140866,0,1,11,1,4,0,7,0
OG5_146566,6,0,8,16,6,0,1,0
OG5_138421,0,16,44,32,8,0,7,0
OG5_146952,0,0,42,14,0,0,0,0
OG5_146567,0,5,137,10,59,0,1,0
OG5_157229,46,0,6,1,0,28,0,5
OG5_157227,31,0,2,0,0,7,1,0
OG5_139207,0,0,1,0,0,0,0,0
OG5_130134,0,32,168,37,140,0,7,23
OG5_130135,53,103,637,66,940,6,31,38
OG5_130136,247,23,128,62,130,44,10,10
OG5_130137,23,11,32,4,13,0,5,5
OG5_130130,498,7,40,33,52,44,24,1
OG5_130131,608,48,136,7,47,0,68,3
OG5_130132,0,26,155,64,84,0,41,8
OG5_130133,264,46,253,42,331,53,42,23
OG5_130139,66,14,28,61,39,0,16,1
OG5_138427,0,0,223,124,101,0,3,0
OG5_136124,0,14,118,1,152,0,56,21
OG5_176317,36,1,1,0,1,0,0,0
OG5_130788,1,25,267,57,189,0,12,16
OG5_164076,4,0,0,3,0,0,1,0
OG5_134655,0,19,24,22,93,0,33,1
OG5_134654,2,15,162,41,46,3,11,3
OG5_134656,0,15,72,24,100,0,32,4
OG5_134650,533,21,15,2,1,3,35,0
OG5_134658,1,40,187,88,109,0,59,6
OG5_137878,183,20,35,3,0,20,28,0
OG5_137879,110,3,8,0,15,4,3,1
OG5_129071,171,33,267,78,297,15,38,27
OG5_137871,47,9,51,2,15,0,8,1
OG5_137872,199,0,0,1,0,0,1,0
OG5_137873,444,0,11,2,2,0,0,0
OG5_137874,575,0,2,4,2,0,2,0
OG5_147454,1,0,20,0,0,0,0,0
OG5_137877,266,0,1,0,0,0,1,0
OG5_136157,0,0,2,21,20,0,4,0
OG5_130252,0,6,35,62,31,0,18,3
OG5_129311,0,13,62,12,45,0,21,0
OG5_133027,12,14,8,35,4,0,24,0
OG5_133026,64,81,506,31,316,0,66,39
OG5_133025,0,21,64,37,107,0,31,6
OG5_133024,0,14,4,40,340,0,22,0
OG5_133022,2,1,6,83,15,0,1,0
OG5_133021,5,14,141,43,70,0,5,7
OG5_155071,0,45,248,8,40,0,17,3
OG5_133029,58,1,4,33,8,1,3,0
OG5_133028,0,10,22,41,24,0,16,0
OG5_169510,2,24,85,4,76,0,14,1
OG5_132879,2,50,307,36,38,0,5,13
OG5_130583,9,24,196,45,61,2,46,11
OG5_136479,261,0,0,2,0,0,0,0
OG5_132878,0,24,107,39,4,0,13,6
OG5_144677,1,0,1,0,0,0,15,0
OG5_145163,36,0,0,0,0,0,1,0
OG5_136473,74,21,60,3,9,34,41,0
OG5_167516,6,0,0,0,1,0,0,1
OG5_136471,46,0,36,10,1,1,24,0
OG5_136477,219,44,278,1,164,3,9,13
OG5_152367,109,0,1,0,0,0,1,0
OG5_136474,169,2,0,2,1,26,0,0
OG5_146935,0,7,65,8,35,0,0,2
OG5_126759,626,108,425,126,406,102,119,43
OG5_126758,610,94,648,118,188,26,177,44
OG5_146931,0,27,99,1,15,0,15,8
OG5_146932,3,4,35,7,59,0,2,12
OG5_126753,108,115,347,100,269,1,158,70
OG5_126752,571,59,423,115,217,108,89,39
OG5_126750,656,110,541,132,359,83,108,70
OG5_126757,511,67,552,153,335,44,51,28
OG5_126756,322,71,469,131,200,60,112,40
OG5_126755,614,75,383,116,190,95,88,38
OG5_126754,37,123,742,121,570,5,81,42
OG5_132873,0,4,35,34,25,0,0,2
OG5_137308,1,38,70,23,41,4,6,6
OG5_182858,0,1,10,0,2,0,2,0
OG5_155095,66,5,32,4,11,1,4,0
OG5_137300,0,14,63,26,51,0,9,5
OG5_137301,0,127,231,46,430,0,98,34
OG5_137307,113,3,7,1,0,48,13,0
OG5_147040,0,11,79,1,9,0,54,1
OG5_137305,4,19,119,30,145,0,3,13
OG5_146100,0,2,57,0,5,0,1,17
OG5_149500,0,0,0,8,3,0,0,0
OG5_138779,288,0,1,0,0,0,1,0
OG5_136659,260,33,54,8,15,0,0,26
OG5_136658,139,0,1,0,0,0,1,0
OG5_136657,40,10,111,10,200,0,24,23
OG5_136656,0,17,143,23,166,0,4,5
OG5_136654,0,36,254,22,17,0,31,0
OG5_136653,0,53,121,1,1,0,38,15
OG5_136652,0,8,10,19,24,0,23,1
OG5_136651,0,72,229,4,14,0,110,3
OG5_136650,0,30,102,33,4,0,13,2
OG5_133683,0,26,144,29,184,0,11,7
OG5_133681,0,20,233,40,107,0,8,4
OG5_133687,0,132,563,27,436,0,63,12
OG5_133686,0,5,76,34,7,0,5,0
OG5_133685,0,8,22,41,117,0,2,11
OG5_131473,0,35,172,38,9,0,22,20
OG5_163479,64,0,0,0,0,0,1,0
OG5_133688,0,29,143,31,43,0,17,5
OG5_172112,17,23,160,2,181,0,10,9
OG5_147029,0,0,16,16,2,0,0,0
OG5_134444,0,8,8,29,2,0,14,0
OG5_168762,16,11,86,5,21,0,0,1
OG5_138934,0,0,1,20,3,0,0,0
OG5_132375,0,39,166,30,38,0,26,3
OG5_180324,0,109,1381,76,1345,20,21,8
OG5_132377,16,0,8,35,0,10,0,0
OG5_132370,0,39,211,44,24,0,14,11
OG5_132372,1,22,126,41,138,0,26,7
OG5_132373,0,14,46,34,193,0,22,9
OG5_138938,0,19,60,24,23,0,11,0
OG5_132379,0,14,18,26,4,0,24,0
OG5_128250,0,75,480,95,412,0,88,29
OG5_128523,34,157,500,203,21,0,21,10
OG5_141198,0,58,290,33,57,0,14,2
OG5_133975,0,9,34,38,27,0,11,3
OG5_133977,15,31,126,12,64,0,78,2
OG5_128521,3,37,158,73,36,1,65,18
OG5_133970,2,0,2,32,1,0,1,0
